english_name,chinese_name,source_id,extra_json
Instruments of Chaos Starring Young Indiana Jones (Beta),少年印第安那琼斯(测试版),,
Instruments of Chaos Starring Young Indiana Jones (J),印第安那琼斯(日),,
Instruments of Chaos Starring Young Indiana Jones (U),印第安那琼斯(美),,
International Rugby (JUE),国际橄榄球(日美欧),,
International Superstar Soccer Deluxe (Beta),国际全明星足球(测试版),,
International Superstar Soccer Deluxe (JUE),国际全明星足球(日美欧),,
Ishido - The Way of Stones (U),石头棋(美),,
It Came From The Desert (U) [x],流沙斗士(美),,
"Itchy and Scratchy Game, The (JUE)",,,
Izzy's Quest for the Olympic Rings (JUE),百年奥运会(日美欧),,
Ka-Ge-Ki - Fists of Steel (J),火激(日),,
Ka-Ge-Ki - Fists of Steel (U),火激(美),,
Kawasaki Superbike Challenge (Beta),川崎机车赛(测试版),,
Kawasaki Superbike Challenge (JUE),川崎机车赛(日美欧),,
"Kick Boxing, The (J)",,,
Kick Off 3 - European Challenge (E),K.O足球-欧洲联赛(欧),,
Kid Chameleon (UE),变色龙(美欧),,
"Killing Game Show, The (J)",机械精灵(日),,
King of the Monsters (E),万兽之王(欧),,
King of the Monsters (U),万兽之王(美),,
King of the Monsters 2 (U),万兽之王2(美),,
King Salmon (J) [x],鲑鱼王(日),,
King Salmon (U),鲑鱼王(美),,
King's Bounty (U),国王之恩典(美),,
Klax (J),立体方块(日),,
Klax (U),立体方块(美),,
Knuckles Chaotix (32X) (E),索尼克(32X)(欧),,
Knuckles Chaotix (32X) (JU),索尼克(32X)(日美),,
Kolibri (32X) (JUE),蜂鸟(32X)(日美欧),,
Koutetsu Teikoku (J),钢铁帝国(日),,
Krusty's Super Funhouse (JUE) (r00),,,
Krusty's Super Funhouse (JUE) (r01),,,
Kujaku Ou 2 - Geneijou (J),孔雀王2(日),,
Kuuga - Operation Code 'Vapor Trail' (J),空牙(日),,
Kyuukai Douchuuki Baseball (J),球界道中记(日),,
Kyuukyoku Tiger (J),究级虎(日),,
La Russa 95 (JUE),,,
Labyrinth of Death (J),,,
Lakers vs Celtics (U),NBA湖人Vs 凯尔特人(美),,
Landstalker - Die Schatze von Konig Nolo (G),秘境魔宝(德),,
Landstalker - Koutei no Zaihou (J),秘境魔宝(日),,
Landstalker - Le Tresor du Roi Nole (F),秘境魔宝(法),,
Landstalker - The Treasures of King Nole (Beta),秘境魔宝(测试版),,
Landstalker - The Treasures of King Nole (E),秘境魔宝(欧),,
Landstalker - The Treasures of King Nole (U),秘境魔宝(美),,
Langrisser (J),梦幻模拟战(日),,
Langrisser II (J) (r00),梦幻模拟战2(r00)(日),,
Langrisser II (J) (r01),梦幻模拟战2(r01)(日),,
Langrisser II (J) (r02),梦幻模拟战2(r02)(日),,
Last Action Hero (JUE),最后魔鬼英雄(日美欧),,
Last Battle - Legend of the Final Hero (U),北斗神拳(美),,
"Lawnmower Man, The (JUE)",除魔战士(日美欧),,
"Legend of Galahad, The (U)",亚瑟王(美),,
Lemmings (E),旅鼠总动员(欧),,
Lemmings (JU) (r00),旅鼠总动员(r00)(日美),,
Lemmings (JU) (r01),旅鼠总动员(r01)(日美),,
Lemmings 2 - The Tribes (E),旅鼠总动员2(欧),,
Lemmings 2 - The Tribes (U),旅鼠总动员2(美),,
Lethal Enforcers (E),致命杀手1(欧),,
Lethal Enforcers (J),致命杀手1(日),,
Lethal Enforcers (U),致命杀手1(美),,
Lethal Enforcers II - Gun Fighters (E),致命杀手2(欧),,
Lethal Enforcers II - Gun Fighters (JU),致命杀手2(日美),,
LHX Attack Helicopter (J),武装直升机(日),,
LHX Attack Helicopter (U),武装直升机(美),,
Liberty or Death (U),独立战争(美),,
Light Crusader (E) (M4),光之十字军战士(欧),,
Light Crusader (JE),光之十字军战士(日欧),,
Light Crusader (K),光之十字军战士(韩),,
Light Crusader (U),光之十字军战士(美),,
Lightening Force (U),闪电出击特别版(美),,
Link Dragon (Unl),接龙(Unl),,
"Lion King, The (JUE)",狮子王(日美欧),,
Lord Monarch - Tokoton Sentou Densetsu (J),战斗传说(日),,
"Lost Vikings, The (E) [a1]",失落的维京人[a1](欧),,
"Lost Vikings, The (E)",失落的维京人(欧),,
"Lost Vikings, The (U)",失落的维京人(美),,
Lotus II RECS (Beta),莲花赛车2(测试版),,
Lotus II RECS (JUE),莲花赛车2(日美欧),,
Lotus Turbo Challenge (JUE),莲花赛车-超速挑战(日美欧),,
Olympic Gold - Barcelona '92 (E) 92,巴塞罗那奥运会(欧),,
Olympic Gold - Barcelona '92 (J) 92,巴塞罗那奥运会(日),,
Olympic Gold - Barcelona '92 (U) [a1][c] 92,巴塞罗那奥运会[a1][c](美),,
Olympic Gold - Barcelona '92 (U) 92,巴塞罗那奥运会(美),,
Olympic Summer Games Atlanta 96 (JUE) 96,亚特兰大夏季奥运(日美欧),,
Olympic Winter Games - Lillehammer 1994 (J) 94,冬季奥运(日),,
Olympic Winter Games - Lillehammer 1994 (U) [x] 94,冬季奥运(美),,
Omega Race (J) [x],旋转战机(日),,
Onslaught (Unl),突击(Unl),,
"Ooze, The (E)",毒液(欧),,
"Ooze, The (JU)",毒液(日美),,
Operation Europe - Path to Victory 1939-45 (U),第二次世界大战(美),,
Osomatsu-kun - Hachamecha Gekijou (J) [x],,,
"Ottifants, The (E)",玩具(欧),,
"Ottifants, The (G) (Beta)",玩具(测试版)(德),,
Out of this World (U),另一个世界(美),,
Outlander (E),主视点赛车(欧),,
Outlander (U),主视点赛车(美),,
OutRun (JUE) [a1],户外大飙车[a1](日美欧),,
OutRun (JUE),户外大飙车(日美欧),,
