english_name,chinese_name,source_id,extra_json
Resistance: Burning Skies (POR),抵抗：燃烧天空 [英文版],PCSA00063,"{""date"":""2012-05-29"",""developer"":""Nihilistic"",""genre"":""动作|射击|第一人称"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00063.jpg"",""language"":""英语|西班牙语|葡萄牙语"",""publisher"":""Sony"",""region"":""US""}"
Table Ice Hockey,桌上冰球 [英文版],PCSA00064,"{""date"":""2012-09-25"",""developer"":""Studio Liverpool"",""genre"":""运动|传统|冰球"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00064.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Wake-up Club,起床俱乐部 [英文版],PCSA00067,"{""date"":""2013-01-15"",""developer"":""Sony"",""genre"":""混合|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00067.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Sly Cooper: Thieves in Time,狡狐大冒险：岁月神偷 [英文版],PCSA00068,"{""date"":""2013-02-05"",""developer"":""Sanzaru Games"",""genre"":""动作冒险"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00068.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
PlayStation All-Stars Battle Royale,索尼全明星大乱斗 [英文版],PCSA00069,"{""date"":""2012-11-20"",""developer"":""Bluepoint Games"",""genre"":""动作|战斗|2D"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00069.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Table Mini Golf,桌上高尔夫 [英文版],PCSA00074,"{""date"":""2013-04-09"",""developer"":""Four Door Lemon"",""genre"":""运动|传统|高尔夫"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00074.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
When Vikings Attack!,维京人进攻之时 [英文版],PCSA00075,"{""date"":""2012-11-06"",""developer"":""Clever Beans"",""genre"":""动作|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00075.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Smart as,加油！头脑酱 [英文版],PCSA00079,"{""date"":""2012-10-23"",""developer"":""XDEV"",""genre"":""混合|解谜"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00079.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Jak and Daxter Collection,杰克与达斯特 收藏版 [英文版],PCSA00080,"{""date"":""2013-06-18"",""developer"":""Naughty Dog"",""genre"":""动作|平面|3D"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00080.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
PlayStation Home Arcade,PlayStation®Home 街机 [英文版],PCSA00083,"{""date"":""2013-02-05"",""developer"":""Sony"",""genre"":""混合|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00083.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Ratchet & Clank: Full Frontal Assault,瑞奇与叮当：全面进攻 [英文版],PCSA00086,"{""date"":""2013-05-21"",""developer"":""Insomniac Games, Tin Giant"",""genre"":""动作|战斗|3D"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00086.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Ecolibrium,平衡世界 [英文版],PCSA00087,"{""date"":""2013-02-12"",""developer"":""Sony"",""genre"":""混合|虚拟生活"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00087.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Uncharted: Fight for Fortune,神秘海域：命运之战 [英文版],PCSA00088,"{""date"":""2012-12-04"",""developer"":""Bend Studio"",""genre"":""动作冒险"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00088.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Bentley's Hackpack,狡狐大冒险：本特利的破解包 [英文版],PCSA00089,"{""date"":""2013-02-05"",""developer"":""Sanzaru Games"",""genre"":""混合|选辑"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00089.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Soul Sacrifice,灵魂献祭 [英文版],PCSA00092,"{""date"":""2013-04-30"",""developer"":""SCE Japan Studio, comcept"",""genre"":""RPG|ARPG"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00092.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Sly Cooper and the Thievius Raccoonus,狡狐大冒险：岁月神偷 [英文版],PCSA00096,"{""date"":""2014-05-27"",""developer"":""Sanzaru Games"",""genre"":""动作|平面|3D"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00096.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Sly 2: Band of Thieves (Sly Cooper 2),狡狐大冒险 2：狭盗团 [英文版],PCSA00097,"{""date"":""2014-05-27"",""developer"":""Sanzaru Games"",""genre"":""动作|平面|3D"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00097.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Sly 3: Honor Among Thieves (Sly Cooper 3),狡狐大冒险 3：侠盗荣誉 [英文版],PCSA00098,"{""date"":""2014-05-27"",""developer"":""Sanzaru Games"",""genre"":""动作|平面|3D"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00098.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Tearaway,撕纸小邮差™ [英文版],PCSA00099,"{""date"":""2013-11-22"",""developer"":""Media Molecule"",""genre"":""冒险|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00099.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
RESOGUN,光电战机 [英文版],PCSA00103,"{""date"":""2014-12-23"",""developer"":""Climax Studios"",""genre"":""动作|射击"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00103.jpg"",""language"":""英语|法语|西班牙语|葡萄牙语"",""publisher"":""Sony"",""region"":""US""}"
Destiny of Spirits,魂之宿命 [英文版],PCSA00106,"{""date"":""2014-03-25"",""developer"":""Q Entertainment"",""genre"":""策略|回合制"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00106.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Killzone: Mercenary,杀戮地带：雇佣兵 [英文版],PCSA00107,"{""date"":""2013-09-10"",""developer"":""Guerilla Cambridge"",""genre"":""动作|射击|第一人称"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00107.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Jacob Jones and the Bigfoot Mystery,琼斯与神秘大脚的冒险 [英文版],PCSA00108,"{""date"":""2013-05-14"",""developer"":""Lucid Games"",""genre"":""混合|解谜"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00108.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Pinball Heroes: Complete,弹珠英雄：完全版 [英文版],PCSA00109,"{""date"":""2013-07-02"",""developer"":""Sony"",""genre"":""混合|室内"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00109.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Disney Epic Mickey 2: The Power of Two,经典米奇 2：双重威力 [英文版],PCSA00110,"{""date"":""2013-06-18"",""developer"":""Disney Interactive Studios"",""genre"":""动作|平面|3D"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00110.jpg"",""language"":""英语"",""publisher"":""Disney Interactive Studios"",""region"":""US""}"
Paint Park Plus,绘画公园 Plus [英文版],PCSA00111,"{""date"":""2013-06-04"",""developer"":""Sony"",""genre"":""混合|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00111.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Toro's Friend Network,大伙乐相伴 Friend Network [英文版],PCSA00112,"{""date"":""2013-06-04"",""developer"":""Sony"",""genre"":""混合|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00112.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Imaginstruments,Imaginstruments [英文版],PCSA00113,"{""date"":""2013-05-28"",""developer"":""Catalyst"",""genre"":""混合|节奏"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00113.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Flower,花 [英文版],PCSA00114,"{""date"":""2013-11-12"",""developer"":""Bluepoint Games"",""genre"":""混合|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00114.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
CounterSpy,反击间谍 [英文版],PCSA00116,"{""date"":""2014-08-19"",""developer"":""Dynamighty"",""genre"":""动作|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00116.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Doki-Doki Universe,心跳宇宙 [英文版],PCSA00117,"{""date"":""2013-12-10"",""developer"":""Sony"",""genre"":""混合|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00117.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Open Me!,箱！Open Me [英文版],PCSA00118,"{""date"":""2013-08-13"",""developer"":""Sony"",""genre"":""动作|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00118.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Invizimals: Hidden Challenges,隐形妖怪：隐藏的挑战 [英文版],PCSA00122,"{""date"":""2013-08-03"",""developer"":""Novarama"",""genre"":""混合|卡牌战斗"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00122.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Hohokum,花花卡姆 [英文版],PCSA00123,"{""date"":""2014-08-12"",""developer"":""Honeyslug Ltd"",""genre"":""冒险|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00123.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
God of War Collection,战神 收藏版 [英文版],PCSA00126,"{""date"":""2014-05-06"",""developer"":""Sanzaru Games"",""genre"":""混合|选辑"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00126.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Malicious Rebirth,灾厄：重生 [英文版],PCSA00127,"{""date"":""2013-10-08"",""developer"":""Alvion"",""genre"":""动作|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00127.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Ratchet & Clank Collection,瑞奇与叮当 收藏版 [英文版],PCSA00133,"{""date"":""2014-07-29"",""developer"":""Mass Media"",""genre"":""混合|选辑"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00133.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Helldivers,绝地战兵 [英文版],PCSA00134,"{""date"":""2015-03-03"",""developer"":""Arrowhead Game Studios"",""genre"":""动作|射击|第三人称"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00134.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
flOw,flOw [英文版],PCSA00135,"{""date"":""2013-12-17"",""developer"":""SuperVillain Studios"",""genre"":""混合|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00135.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
NBA Game Time,美国职业篮球联赛 [英文版],PCSA00136,"{""date"":""2013-11-19"",""developer"":""Sony"",""genre"":""运动|传统|篮球"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00136.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
