english_name,chinese_name,source_id,extra_json
Spirit of Speed 1937 (Japan),竞速之魂 1937  （日版）,DC#1050,
"Spirit of Speed 1937 (USA) (En,Fr,De,Es)","竞速之魂 1937  （美版） (En,Fr,De,Es)",DC#1051,
Sports Jam (Japan),运动大竞技  （日版）,DC#1052,
Sports Jam (USA),运动大竞技  （美版）,DC#1053,
Star Gladiator 2 - Nightmare of Bilstein (Japan),星际斗士 2 - 比尔斯坦的噩梦  （日版）,DC#1054,
Star Wars - Demolition (Europe),星球大战 - 激战  （欧版）,DC#1055,
Star Wars - Demolition (USA),星球大战 - 激战  （美版）,DC#1056,
Star Wars - Episode I - Jedi Power Battles (Europe),星球大战前传：绝地原力  （欧版）,DC#1057,
Star Wars - Episode I - Jedi Power Battles (USA),星球大战前传：绝地原力  （美版）,DC#1058,
Star Wars - Episode I - Racer (Europe),星球大战 - 前传-竞速赛车  （欧版）,DC#1059,
Star Wars - Episode I - Racer (USA),星球大战 - 前传-竞速赛车  （美版）,DC#1060,
StarLancer (Europe),星际枪骑兵/星战战机  （欧版）,DC#1061,
StarLancer (USA),星际枪骑兵/星战战机  （美版）,DC#1062,
Street Fighter Alpha 3 (Europe),少年街霸3  （欧版）,DC#1063,
Street Fighter Alpha 3 (USA),少年街霸3  （美版）,DC#1064,
Street Fighter III - 3rd Strike (Europe),街头霸王 III - 第三次冲击  （欧版）,DC#1065,
Street Fighter III - 3rd Strike (USA),街头霸王 III - 第三次冲击  （美版）,DC#1066,
Street Fighter III - 3rd Strike - Fight for the Future (Japan),街头霸王 III - 第三次冲击 为未来而战 （日版）,DC#1067,
Street Fighter III - Double Impact (Europe),街头霸王 III - 双重冲击  （欧版）,DC#1068,
Street Fighter III - Double Impact (USA),街头霸王 III - 双重冲击  （美版）,DC#1069,
Street Fighter III - W Impact (Japan),街头霸王 III - W Impact  （日版）,DC#1070,
Street Fighter Zero 3 - Saikyo-ryu Dojo (Japan),街头霸王Zero3 - 最强道场  （日版）,DC#1071,
Street Fighter Zero 3 - Saikyo-ryu Dojo for Matching Service (Japan),街头霸王Zero3 - 最强道场 通信对战  （日版）,DC#1072,
Striker Pro 2000 (USA),射手2000  （美版）,DC#1073,
"Stunt GP (Europe) (En,Fr,De,Es,It,Nl,Sv)","特技GP赛车  （欧版） (En,Fr,De,Es,It,Nl,Sv)",DC#1074,
"Stupid Invaders (Europe) (En,Fr,De,It) (Disc 1)","傻瓜入侵者  （欧版） (En,Fr,De,It) (Disc 1)",DC#1075,
"Stupid Invaders (Europe) (En,Fr,De,It) (Disc 2)","傻瓜入侵者  （欧版） (En,Fr,De,It) (Disc 2)",DC#1076,
Stupid Invaders (France) (Disc 1),傻瓜入侵者  （法国版） (Disc 1),DC#1077,
Stupid Invaders (France) (Disc 2),傻瓜入侵者  （法国版） (Disc 2),DC#1078,
Stupid Invaders (USA) (Disc 1),傻瓜入侵者  （美版） (Disc 1),DC#1079,
Stupid Invaders (USA) (Disc 2),傻瓜入侵者  （美版） (Disc 2),DC#1080,
Suigetsu - Mayoigokoro (Japan) (Disc 1),水月 - 迷心  （日版） (Disc 1),DC#1081,
Suigetsu - Mayoigokoro (Japan) (Disc 2),水月 - 迷心  （日版） (Disc 2),DC#1082,
Suika (Japan),水夏  （日版）,DC#1083,
Sunrise Eiyuutan (Japan),机甲英雄坛  （日版）,DC#1084,
Super Euro Soccer 2000 (Japan),超级欧洲足球 2000  （日版）,DC#1085,
Super Game Converter (USA),超级游戏转换器  （美版）,DC#1086,
"Super Magnetic Neo (Europe) (En,Fr,De)","电磁小子/魔法小子  （欧版） (En,Fr,De)",DC#1087,
Super Magnetic Neo (USA),电磁小子/魔法小子  （美版）,DC#1088,
Super Magnetic Neo (USA) (Demo),电磁小子/魔法小子  （美版） （演示版）,DC#1089,
Super Magnetic Niuniu (Japan),电磁小子/魔法小子  （日版）,DC#1090,
Super Producers - Mezase Show Biz Kai (Japan),超级制作人 （日版）,DC#1091,
Super Puzzle Fighter II X for Matching Service (Japan),街霸方块 通信对战  （日版）,DC#1092,
Super Robot Taisen Alpha (Japan),超级机器人大战 Alpha  （日版）,DC#1093,
Super Ru(a)nabout (Japan),超级秘宝赛车  （日版）,DC#1094,
Super Ru(a)nabout - San Francisco Edition (Europe),超级秘宝赛车 - 旧金山版  （欧版）,DC#1095,
Super Ru(a)nabout - San Francisco Edition (Japan),超级秘宝赛车 - 旧金山版  （日版）,DC#1096,
Super Ru(a)nabout - San Francisco Edition (USA),超级秘宝赛车 - 旧金山版  （美版）,DC#1097,
Super Speed Racing (Japan),超级方程式赛车  （日版）,DC#1098,
Surf Rocket Racers (Europe),水上摩托车大赛  （欧版）,DC#1099,
Surf Rocket Racers (USA),水上摩托车大赛  （美版）,DC#1100,
"Suzuki Alstare - Extreme Racing (Europe) (En,Fr,De,Es,It)","铃木摩托车赛 - 极限赛车  （欧版） (En,Fr,De,Es,It)",DC#1101,
Suzuki Alstare - Extreme Racing (USA),铃木摩托车赛 - 极限赛车  （美版）,DC#1102,
Sweet Season (Japan),甜蜜季节  （日版）,DC#1103,
Sword of the Berserk - Guts' Rage (Europe),剑风传奇 - 暴怒之力  （欧版）,DC#1104,
Sword of the Berserk - Guts' Rage (USA),剑风传奇 - 暴怒之力  （美版）,DC#1105,
Sydney 2000 (Australia),悉尼 2000  （澳洲版）,DC#1106,
Sydney 2000 (Europe),悉尼 2000  （欧版）,DC#1107,
Sydney 2000 (France),悉尼 2000  （法国版）,DC#1108,
Sydney 2000 (Germany),悉尼 2000  （德国版）,DC#1109,
Sydney 2000 (Italy),悉尼 2000  （意大利版）,DC#1110,
Sydney 2000 (Japan),悉尼 2000  （日版）,DC#1111,
Sydney 2000 (Spain),悉尼 2000  （西班牙版）,DC#1112,
Sydney 2000 (USA),悉尼 2000  （美版）,DC#1113,
Taisen Net Gimmick - Capcom & Psikyo All Stars (Japan),卡普空对战彩京 - 全明星麻雀  （日版）,DC#1114,
Tako no Marine (Japan),香渍章鱼  （日版）,DC#1115,
Tamakyuu (Japan),たまきゅう  （日版）,DC#1116,
