english_name,chinese_name,source_id,extra_json
"Mike Tyson's Punch-Out!! (Japan, USA) (Rev 1)",泰森拳击 （日版，美版） （修正版 1）,FC#1721,
Millionaire (Asia) (Ja) (PAL) (Unl),百万富翁 （亚洲版） (Ja) (PAL) （非官方版）,FC#1722,
Millipede (USA),杀虫大战 （美版）,FC#1723,
Millipede - Kyodai Konchuu no Gyakushuu (Japan),千足虫 昆虫的逆袭 （日版）,FC#1724,
Milon's Secret Castle (USA),迷宫组曲 （美版）,FC#1725,
Milon's Secret Castle (USA) (Virtual Console),迷宫组曲 （美版） (Virtual Console),FC#1726,
Mindblower Pak (Australia) (Unl),益智游戏 - 4 合 1 （澳洲版） （非官方版）,FC#1727,
Mindseeker (Japan),超能力行者 （日版）,FC#1728,
Minelvaton Saga - Ragon no Fukkatsu (Japan),王子复国记 （日版）,FC#1729,
Mini-Putt (Japan),迷你高尔夫球 （日版）,FC#1730,
Minna no Taabou no Nakayoshi Daisakusen (Japan),友情大作战 （日版）,FC#1731,
Minna no Taabou no Nakayoshi Daisakusen (Japan) (Rev 1),友情大作战 （日版） （修正版 1）,FC#1732,
"Miracle Piano Teaching System, The (France)",神奇钢琴教学系统 （法国版）,FC#1733,
"Miracle Piano Teaching System, The (Germany)",神奇钢琴教学系统 （德国版）,FC#1734,
"Miracle Piano Teaching System, The (USA)",神奇钢琴教学系统 （美版）,FC#1735,
Miracle Ropit's - 2100 Nen no Daibouken (Japan),MIRACLE ROPIT冒险 （日版）,FC#1736,
Mirai Shinwa Jarvas (Japan),未来神话 （日版）,FC#1737,
Mission - Impossible (Europe),碟中谍 （欧版）,FC#1738,
Mission - Impossible (France),碟中谍 （法国版）,FC#1739,
Mission - Impossible (USA),碟中谍 （美版）,FC#1740,
Mission Cobra (USA) (Unl),眼镜蛇任务 （美版） （非官方版）,FC#1741,
Mississippi Satsujin Jiken (Japan),密西西比杀人事件 （日版）,FC#1742,
Mississippi Satsujin Jiken (Japan) (Rev A),密西西比杀人事件 （日版） (Rev A),FC#1743,
Mito Koumon - Sekai Manyuu Ki (Japan),水户黄门 - 世界漫游记 （日版）,FC#1744,
Mitsume ga Tooru (Japan),三眼神童 （日版）,FC#1745,
Mizushima Shinji no Daikoushien (Japan),水岛新司的大甲子园 （日版）,FC#1746,
Moai-kun (Japan),摩艾君 （日版）,FC#1747,
Moe Pro! '90 - Kandou Hen (Japan),燃烧职业棒球 '90 - 感动篇 （日版）,FC#1748,
Moe Pro! - Saikyou Hen (Japan),燃烧职业棒球 - 最强篇 （日版）,FC#1749,
Moero TwinBee - Cinnamon Hakase o Sukue! (Japan),兵蜂2 - 拯救西那蒙博士 （日版）,FC#1750,
Moero TwinBee - Cinnamon Hakase o Sukue! (Japan) (Virtual Console),兵蜂2 - 拯救西那蒙博士 （日版） (Virtual Console),FC#1751,
Moero!! Junior Basket - Two on Two (Japan),燃烧篮球 （日版）,FC#1752,
Moero!! Juudou Warriors (Japan),燃烧柔道战士 （日版）,FC#1753,
Moero!! Pro Soccer (Japan),燃烧职业足球 （日版）,FC#1754,
Moero!! Pro Tennis (Japan),燃烧职业网球 （日版）,FC#1755,
Moero!! Pro Yakyuu '88 - Ketteiban (Japan),燃烧职业棒球 '88 - 决定版 （日版）,FC#1756,
Moero!! Pro Yakyuu (Japan),燃烧职业棒球 （日版）,FC#1757,
Moero!! Pro Yakyuu (Japan) (Beta),燃烧职业棒球 （日版） （测试版）,FC#1758,
Moero!! Pro Yakyuu (Japan) (Rev 1),燃烧职业棒球 （日版） （修正版 1）,FC#1759,
Moero!! Pro Yakyuu (Japan) (Rev 2),燃烧职业棒球 （日版） （修正版 2）,FC#1760,
Moero!! Pro Yakyuu (Japan) (Rev 3),燃烧职业棒球 （日版） （修正版 3）,FC#1761,
Moero!! Pro Yakyuu (Japan) (Rev 3) (Virtual Console),燃烧职业棒球 （日版） （修正版 3） (Virtual Console),FC#1762,
Moeru! Oniisan (Japan),深山原始人 （日版）,FC#1763,
Momotarou Densetsu (Japan),桃太郎传说 （日版）,FC#1764,
Momotarou Densetsu Gaiden (Japan),桃太郎传说外传 （日版）,FC#1765,
Momotarou Dentetsu (Japan),桃太郎电铁 （日版）,FC#1766,
"Money Game II, The - Kabutochou no Kiseki (Japan)",金钱游戏2 （日版）,FC#1767,
"Money Game, The (Japan)",金钱游戏 （日版）,FC#1768,
Monopoly (France),大富翁 （法国版）,FC#1769,
Monopoly (Germany),大富翁 （德国版）,FC#1770,
Monopoly (Japan),大富翁 （日版）,FC#1771,
Monopoly (USA),大富翁 （美版）,FC#1772,
Monster in My Pocket (Europe),口袋怪物大进击 （欧版）,FC#1773,
Monster in My Pocket (USA),口袋怪物大进击 （美版）,FC#1774,
Monster in My Pocket (USA) (Beta) (1991-04-22),口袋怪物大进击 （美版） （测试版） (1991-04-22),FC#1775,
Monster Maker - 7 Tsu no Hihou (Japan),怪兽制造场 - 七秘宝 （日版）,FC#1776,
Monster Party (USA),怪兽派对 （美版）,FC#1777,
Monster Truck Rally (USA),大卡车越野赛 （美版）,FC#1778,
"Monstruo de los Globos, El (Spain) (Gluk Video) (Unl)",打气泡 （西班牙版） (Gluk Video) （非官方版）,FC#1779,
"Monstruo de los Globos, El (Spain) (Rev 1) (Gluk Video) (Unl)",打气泡 （西班牙版） （修正版 1） (Gluk Video) （非官方版）,FC#1780,
Moon Crystal (Japan),月之水晶 （日版）,FC#1781,
Moon Ranger (USA) (Unl),月球守护者 （美版） （非官方版）,FC#1782,
Morita Shougi (Japan),森田将棋 （日版）,FC#1783,
Mother (Japan),地球冒险 （日版）,FC#1784,
Mother (Japan) (Virtual Console),地球冒险 （日版） (Virtual Console),FC#1785,
Motocross Champion (Japan),摩托车越野锦标赛 （日版）,FC#1786,
Motor City Patrol (USA),都市赛车 （美版）,FC#1787,
Mottomo Abunai Deka (Japan),危险刑警 （日版）,FC#1788,
Moulin Rouge Senki - Melville no Honoo (Japan),红磨坊战记 （日版）,FC#1789,
Mouryou Senki Madara (Japan),魍魉战记 （日版）,FC#1790,
Mr. Gimmick (Europe),吉米克先生 （欧版）,FC#1791,
Mr. Gimmick (USA) (Proto),吉米克先生 （美版） （工程版）,FC#1792,
Ms. Pac-Man (USA) (Namco),小精灵小姐 （美版） (Namco),FC#1793,
Ms. Pac-Man (USA) (Tengen) (Unl),小精灵小姐 （美版） (Tengen) （非官方版）,FC#1794,
Mugen Senshi Valis (Japan),梦幻战士 （日版）,FC#1795,
Muppet Adventure - Chaos at the Carnival (USA),布偶大冒险 - 混乱狂欢节 （美版）,FC#1796,
Murder Club - Honkaku Mystery Adventure (Japan),谋杀之谜冒险 （日版）,FC#1797,
Musashi no Bouken (Japan),武藏冒险 （日版）,FC#1798,
Musashi no Ken - Tadaima Shugyou Chuu (Japan),六三四之剑 （日版）,FC#1799,
"Mutant Virus, The - Crisis in a Computer World (USA)",突变病毒 （美版）,FC#1800,
My Life My Love - Boku no Yume - Watashi no Negai (Japan),我的人生我的爱 - 我的梦想及愿望 （日版）,FC#1801,
Mystery Quest (USA),秘密大探索 （美版）,FC#1802,
"Mystery World Dizzy (Europe) (En,Pt,Pl) (Unl)","神秘世界眩晕 （欧版） (En,Pt,Pl) （非官方版）",FC#1803,
Nagagutsu o Haita Neko - Sekai Isshuu 80 Nichi Daibouken (Japan),长靴猫 - 环游世界八十天 （日版）,FC#1804,
Nagagutsu o Haita Neko - Sekai Isshuu 80 Nichi Daibouken (Japan) (Beta),长靴猫 - 环游世界八十天 （日版） （测试版）,FC#1805,
Nakajima Satoru - F-1 Hero (Japan),中岛悟 - F-1 英雄 （日版）,FC#1806,
Nakajima Satoru Kanshuu - F-1 Hero 2 (Japan),中嶋悟監修 F1英雄2 （日版）,FC#1807,
Nakayoshi to Issho (Japan),友情物语 （日版）,FC#1808,
Namco Classic (Japan),拿姆科高尔夫 （日版）,FC#1809,
Namco Classic II (Japan),拿姆科高尔夫 II （日版）,FC#1810,
Namco Prism Zone - Dream Master (Japan),梦境之王 （日版）,FC#1811,
Namcot Mahjong III - Mahjong Tengoku (Japan),拿姆科麻雀 III - 麻雀天国 （日版）,FC#1812,
Nangoku Shirei!! - Spy vs Spy (Japan),谍对谍-南国指令 （日版）,FC#1813,
Nantettatte!! Baseball (Japan),星光棒球 （日版）,FC#1814,
Nantettatte!! Baseball (Japan) (Sample) (1989-12-22),星光棒球 （日版） （试玩版） (1989-12-22),FC#1815,
Nantettatte!! Baseball + Nantettatte!! Baseball - Ko-Game Cassette - '91 Kaimaku Hen (Japan),南特塔特棒球91 （日版）,FC#1816,
Nantettatte!! Baseball + Nantettatte!! Baseball - Ko-Game Cassette - OB All Star Hen (Japan),南特塔特棒球全明星 （日版）,FC#1817,
Napoleon Senki (Japan),拿破仑战记 （日版）,FC#1818,
NARC (USA),缉毒特警 （美版）,FC#1819,
Navy Blue (Japan),大海战 （日版）,FC#1820,
Nekketsu Kakutou Densetsu (Japan),热血格斗传说 （日版）,FC#1821,
Nekketsu Kouha Kunio-kun (Japan),热血硬派 （日版）,FC#1822,
Nekketsu Kouha Kunio-kun (Japan) (Virtual Console),热血硬派 （日版） (Virtual Console),FC#1823,
Nekketsu Koukou Dodgeball-bu (Japan),热血高校躲避球 （日版）,FC#1824,
Nekketsu Koukou Dodgeball-bu (Japan) (Virtual Console),热血高校躲避球 （日版） (Virtual Console),FC#1825,
Nekketsu Koukou Dodgeball-bu - Soccer Hen (Japan),热血足球 （日版）,FC#1826,
Nekketsu Koukou Dodgeball-bu - Soccer Hen (Japan) (Virtual Console),热血足球 （日版） (Virtual Console),FC#1827,
Nekketsu! Street Basket - Ganbare Dunk Heroes (Japan),热血街头篮球 （日版）,FC#1828,
NES Open Tournament Golf (Europe),玛璃欧高尔夫公开赛 （欧版）,FC#1829,
NES Open Tournament Golf (Europe) (Virtual Console),玛璃欧高尔夫公开赛 （欧版） (Virtual Console),FC#1830,
NES Open Tournament Golf (USA),玛璃欧高尔夫公开赛 （美版）,FC#1831,
NES Open Tournament Golf (USA) (Virtual Console),玛璃欧高尔夫公开赛 （美版） (Virtual Console),FC#1832,
NES Play Action Football (USA),任天堂美式足球 （美版）,FC#1833,
NES Play Action Football (USA) (Virtual Console),任天堂美式足球 （美版） (Virtual Console),FC#1834,
New Ghostbusters II (Europe),新魔鬼克星 II （欧版）,FC#1835,
New Ghostbusters II (Japan),新魔鬼克星 II （日版）,FC#1836,
New Ghostbusters II (USA) (Proto),新魔鬼克星 II （美版） （工程版）,FC#1837,
New York Nyankies (Japan),纽约摇滚猫 （日版）,FC#1838,
"NewZealand Story, The (Europe)",新西兰故事 （欧版）,FC#1839,
NFL (USA),全美美式足球联盟 （美版）,FC#1840,
NHK Gakuen - Space School - Sansu 5 Nen (Jou) (Japan),NHK学园 算术五年级 (Jou) （日版）,FC#1841,
NHK Gakuen - Space School - Sansu 6 Nen (Ge) (Japan),NHK学园 算术六年级 (Ge) （日版）,FC#1842,
NHK Gakuen - Space School - Sansu 6 Nen (Jou) (Japan),NHK学园 算术六年级 (Jou) （日版）,FC#1843,
