title_id,serial,name,region
0004000000165000,CTR-BNUE,Senran Kagura 2: Deep Crimson,USA
00040000000C8D00,CTR-AH5P,Monster High: Skultimate Roller Maze (Rev01),EUR
000400000016AE00,CTR-BL5P,Skylanders SuperChargers Racing,EUR
0004000000176B00,CTR-BTNP,Teenage Mutant Ninja Turtles: Master Splinters Training Pack,EUR
0004000000166E00,CTR-BARJ,MonHun Nikki: Poka Poka Airu Mura DX,JPN
0004000000154D00,CTR-AULJ,Atelier Deco La Doll Collection,JPN
0004000000159C00,CTR-BLJX,LEGO Jurassic World,SPA
0004000000044800,CTR-AF2D,Fifa 12 (Rev01),GER
000400000014F100,CTR-EDHE,Animal Crossing: Happy Home Designer,USA
000400000014F200,CTR-EDHP,Animal Crossing: Happy Home Designer,EUR
0004000000170600,CTR-BLSJ,LEGO Ninjago: Ronin no Kage,JPN
0004000000149B00,CTR-BPXJ,Pokemon Chou Fushigi no Dungeon,JPN
0004000000169A00,CTR-BBPJ,Katachi Shin Hakken! Rittai Picross 2,JPN
000400000017C300,CTR-BTBP,Thomas and Friends: Steaming around Sodor,EUR
000400000016F100,CTR-BY5E,Are You Smarter Than a 5th Grader?,USA
0004000000169600,CTR-BDVP,Dragon Ball Z: Extreme Butoden,EUR
0004000000169E00,CTR-BP5J,Pro Yakyuu Famista Returns,JPN
0004000000163000,CTR-BXLE,Chibi-Robo! Zip Lash,USA
000400000016DB00,CTR-BLLE,The Legend of Legacy,USA
0004000000160200,CTR-BBME,Goosebumps: The Game,USA
0004000000152600,CTR-BXLJ,Nagenawa Action! Guru Guru! Chibi Robo!,JPN
0004000000160900,CTR-BUSE,The Smurfs,USA
0004000000177000,CTR-EA3P,The Legend of Zelda: Tri Force Heroes,EUR
0004000000176E00,CTR-EA3J,Zelda no Densetsu: Tri Force 3-Juushi,JPN
0004000000149100,CTR-AGFE,Gravity Falls: Legend of the Gnome Gemulets,USA
0004000000176F00,CTR-EA3E,The Legend of Zelda: Tri Force Heroes,USA
000400000016CD00,CTR-BDVE,Dragon Ball Z: Extreme Butoden,USA
0004000000116000,CTR-BBTD,Bibi & Tina: Das Spiel zum Kinofilm! (Rev01),GER
0004000000049100,CTR-ANRP,Star Fox 64 3D (Rev03),EUR
000400000014A000,CTR-BHFP,My Life on a Farm 3D (Rev01),EUR
000400000008C400,CTR-EC6P,Tomodachi Life (Rev02),EUR
000400000015F000,CTR-BFNE,Adventure Time: Finn & Jake Investigations,USA
000400000017C900,CTR-AKSP,Shovel Knight,EUR
000400000014D900,CTR-AGFP,Gravity Falls: Legend of the Gnome Gemulets,EUR
000400000017AF00,CTR-BPEP,The Peanuts Movie: Snoopys Grand Adventure,EUR
0004000000161A00,CTR-BFNP,Adventure Time: Finn & Jake Investigations,EUR
0004000000162F00,CTR-BXLP,Chibi-Robo! Zip Lash,EUR
000400000014E900,CTR-BLSX,LEGO Ninjago: La Sombra de Ronin,SPA
000400000017E100,CTR-AKSE,Shovel Knight,USA
0004000000169900,CTR-BPEE,The Peanuts Movie: Snoopys Grand Adventure,USA
0004000000176000,CTR-BRQE,Barbie & Her Sisters: Puppy Rescue,USA
0004000000167700,CTR-AYWE,Yo-Kai Watch,USA
000400000016B000,CTR-BHKP,Hello Kitty And The Apron Of Magic: Rhythm Cooking,EUR
0004000000168C00,CTR-ADNZ,LBX: Little Battlers eXperience,EUR
0004000000043E00,CTR-ABMJ,Biohazard: The Mercenaries 3D (Rev01),JPN
0004000000091000,CTR-AHQJ,Devil Summoner: Soul Hackers (Rev01),JPN
0004000000115400,CTR-BD7J,7th Dragon III Code: VFD,JPN
0004000000178300,CTR-APJJ,PriPara Mezase! Idol * Grand Prix No.1!,JPN
0004000000175600,CTR-BH4P,Horse Life 4,EUR
0004000000169500,CTR-AR6P,Rodea the Sky Soldier,EUR
0004000000168800,CTR-AR6E,Rodea the Sky Soldier,USA
000400000014FC00,CTR-BXPJ,Project X Zone 2: Brave New World (Original Game Sound Edition),JPN
000400000017D600,CTR-BTJJ,Tetsudou Nippon! Rosen Tabi: Joumou Denki Tetsudou Hen,JPN
0004000000155000,CTR-BD2J,Disney Magic Castle: My Happy Life 2,JPN
000400000016E600,CTR-ADXP,Shin Megami Tensei: Devil Survivor 2 Record Breaker,EUR
000400000012EA00,CTR-BKTP,Hello Kitty & Friends: Rock n World Tour,EUR
0004000000185A00,CTR-ECFA,Minna no Pokemon Scramble,JPN
000400000016A100,CTR-ECDP,Nintendo Presents: New Style Boutique 2: Fashion Forward,EUR
0004000000173700,CTR-BS3E,Stella Glow,USA
000400000017B000,CTR-BRQP,Barbie & Her Sisters: Puppy Rescue,EUR
0004000000174600,CTR-BPXE,Pokemon Super Mystery Dungeon,USA
000400000006FB00,CTR-TAHP,NES Open Tournament Golf,EUR
00040000000A2400,CTR-AGAE,Mario Tennis Open (DEMO),USA
000400000015AD00,CTR-AJRE,The Legend of Zelda: Majoras Mask 3D (DEMO),USA
000400000017F200,CTR-BM5E,Moco Moco Friends,USA
000400000016E500,CTR-BMSP,Monster High: New Ghoul in School,EUR
000400000015D400,CTR-BKFP,Kung Fu Panda: Showdown of Legendary Legends,EUR
0004000000178B00,CTR-ALNP,I Love My Pony,EUR
0004000000155400,CTR-BXXJ,Monster Hunter X,JPN
000400000016DA00,CTR-BMSE,Monster High: New Ghoul in School,USA
000400000009F200,CTR-AD4E,Adventure Time: Hey Ice King! Whyd You Steal Our Garbage?!! (Rev01),USA
00040000000EB100,CTR-AA8P,LEGO City Undercover: The Chase Begins (DEMO),EUR
000400000010AC00,CTR-ARVP,Sonic Lost World (DEMO),EUR
0004000000172200,CTR-BLJJ,LEGO Jurassic World,JPN
000400000014FB00,CTR-BX2J,Project X Zone 2: Brave New World,JPN
0004000000132800,CTR-AYNP,Mario & Luigi: Paper Jam Bros.,EUR
0004000000182500,CTR-AFTP,Fireman Sam: To The Rescue,EUR
0004000000178500,CTR-BSVJ,Sumikko Gurashi: Omise Hajimerun Desu,JPN
