serial,name,region
00001203-00,"Arnold Palmer Tournament Golf (USA, Europe)",USA
00001203-01,"Arnold Palmer Tournament Golf (USA, Europe) (Rev A) (Beta) (Sega Channel)",USA
00004039-00,"Arrow Flash (Japan, Europe) (En)",Japan
00004039-00,Arrow Flash (USA),USA
MK-1703-00,Art Alive (World),World
MK-1703-00,Art Alive (World) (Sega Channel),World
MK-01146-00,Art of Fighting (Europe),Europe
MK-1146-00,Art of Fighting (USA),USA
MK-1146-00,Art of Fighting (USA) (Beta),USA
00000000-00,Aruiwa Korega Risouno Seikatsu (World) (Ja),World
00000000-00,Asa Delta (Brazil) (Mega Drive 4),Brazil
00000000-00,Astebros (World) (Demo 1),World
00000000-00,Astebros (World) (Demo 2),World
00000000-00,Astebros (World) (En) (Demo 3),World
00000000-00,"Astebros (World) (En,Ja,Fr,De,Es,It,Pt-BR,Zh) (Demo 4)",World
00000000-00,Astebros (World) (Fr) (Demo 3),World
00000000-00,Asteraoult Wars (World) (Fr),World
MK-1532-50,"Asterix and the Great Rescue (Europe) (En,Fr,De,Es,It)",Europe
MK-1532-00,Asterix and the Great Rescue (USA),USA
MK-1532-50,Asterix and the Power of the Gods (Europe) (Beta),Europe
MK-1095-00,"Asterix and the Power of the Gods (Europe) (En,Fr,De,Es)",Europe
02621534-00,Astro Robo Sasa (World) (Proto),World
T-24016-00,Atomic Robo-Kid (Japan),Japan
T-24016-00,Atomic Robo-Kid (USA),USA
MK1140-00,Atomic Runner (Europe),Europe
T-13073-00,Atomic Runner (USA),USA
00000000-00,Aureole - Wings of Hope (Europe) (Promo),Europe
T-172106-01,Australian Rugby League (Europe),Europe
T-172106-01,Australian Rugby League (Europe) (Beta),Europe
00000000-00,Automata (World) (Proto),World
00000000-00,Avuado (World) (Proto),World
T-48153-00,"Awesome Possum (Japan) (En,Ja)",Japan
T-48226-00,Awesome Possum Kicks Dr. Machino's Butt (USA),USA
T-48096-00,Awesome Possum Kicks Dr. Machino's Butt! (USA) (Beta 1),USA
T-48226-00,Awesome Possum Kicks Dr. Machino's Butt! (USA) (Beta 2),USA
T-48226-00,Awesome Possum Kicks Dr. Machino's Butt! (USA) (Beta 3),USA
00054503-00,Aworg - Hero in the Sky (Japan) (Sega Game Toshokan),Japan
00005514-00,"Ayrton Senna's Super Monaco GP II (Japan, Europe) (En,Ja)",Japan
00001135-00,"Ayrton Senna's Super Monaco GP II (USA) (En,Ja)",USA
T-50586-01,"B.O.B. (USA, Europe)",USA
MK-xxxx-00,"B.O.B. (USA, Europe) (Beta)",USA
MK-1145-00,Baby Boom (USA) (Proto 1),USA
MK-1145-00,Baby Boom (USA) (Proto 2),USA
MK-1145-00,Baby Boom (USA) (Proto 3),USA
TSNEAKE-RS,Baby's Day Out (USA) (Proto 1),USA
T-112056-00,Baby's Day Out (USA) (Proto 2),USA
T-69046-50,Back to the Future Part III (Europe),Europe
T-69046-00,Back to the Future Part III (USA),USA
T-28043-00,"Bad Omen (Japan, Korea) (En)",Japan
00004521-00,Bahamut Senki (Japan),Japan
BLY0001-00,Bailey the Brave (World),World
MK-1078-50,"Ball Jacks (Japan, Europe) (En)",Japan
MK-0000-00,"Ballz 3D - Fighting at its Ballziest (USA, Europe) (Beta 1)",USA
T-156016-00,"Ballz 3D - Fighting at its Ballziest (USA, Europe) (Beta 2)",USA
T-119126-00,"Ballz 3D - The Battle of the Ballz (USA, Europe)",USA
12345678-01,Bao Long Tu - Violent Dragon Rabbit (World) (Proto),World
MK-0000-00,Barbarian (World) (F.L.) (Amiga 500),World
MK-0000-00,Barbarian (World) (F.L.) (Amstrad CPC),World
MK-0000-00,Barbarian (World) (F.L.) (Atari ST),World
MK-0000-00,Barbarian (World) (F.L.) (Commodore 64),World
MK-0000-00,Barbarian (World) (F.L.) (ZX Spectrum),World
00000000-00,Barbarian (World) (Z-team),World
T-112026-00,Barbie Super Model (USA),USA
00000000-00,Barbie Super Model (USA) (Beta),USA
T-112066-00,Barbie Vacation Adventure (USA) (Proto),USA
00000000-00,Bare Knuckle II (Japan) (En) (Beta),Japan
G-4116-00,Bare Knuckle III (Japan),Japan
G-4116-00,Bare Knuckle III (Japan) (Beta),Japan
00000000-00,Bare Knuckled Princess (World) (Proto) (bitbitJAM 2016),World
T-119186-00,Barkley Shut Up and Jam 2 (USA),USA
T-119066-01,Barkley Shut Up and Jam 2 (USA) (Beta),USA
T-119066-00,"Barkley Shut Up and Jam! (USA, Europe)",USA
MK-1534-00,Barney's Hide & Seek Game (USA),USA
MK-1534-00,Barney's Hide & Seek Game (USA) (Sega Channel),USA
T-100096-00,Bass Masters Classic (USA),USA
T-100116-00,Bass Masters Classic - Pro Edition (USA),USA
00000000-00,Batalha Naval (Brazil) (Mega Drive 4),Brazil
MK-1044-50,Batman (Europe),Europe
T-15043-00,Batman (Japan) (En),Japan
T-015046-00,Batman - Revenge of the Joker (USA),USA
T-15016-00,Batman - The Video Game (USA),USA
T-81336-00,Batman Forever (World),World
MK-1045-00,Batman Returns (World),World
00000000-02,Batman Returns MD (World) (Demo 1),World
00000000-02,Batman Returns MD (World) (Demo 2),World
00000000-02,Batman Returns MD (World) (Demo 3),World
T-000000-00,Battle City (World) (Proto) (Pirate),World
T-88136-00,"Battle Frenzy (USA) (En,Fr,De,Es) (Sega Channel)",USA
G-4040-00,Battle Golfer Yui (Japan),Japan
T-23013-00,Battle Mania (Japan),Japan
exercise-only,Battle Mania (Japan) (Beta),Japan
T-23043-00,"Battle Mania Daiginjou (Japan, Korea) (Ja)",Japan
T-XXXXX-XX,"Battle Squadron (USA, Europe)",USA
T-50066-00,"Battle Squadron (USA, Europe) (Rev 1) (Beta) (Sega Channel)",USA
00000000-00,"Battle Women (World) (En,Fr,De,Es,It,Pt-BR,Pl,Ru,Uz)",World
T-69066-00,Battlemaster (USA),USA
T-22066-00,Battletech - A Game of Armored Combat (USA),USA
G-4074-00,Battletoads (World),World
T-97066-00,Battletoads-Double Dragon (USA),USA
T-49053-00,Beast Warriors (Japan),Japan
T-49116-00,Beast Wrestler (USA),USA
T-49053-00,Beast Wrestler (USA) (Beta),USA
T-49116-00,Beast Wrestler (World) (Evercade),World
T-124026-01,Beastball (Europe) (Proto),Europe
T-124026-01,Beastball (World) (Evercade),World
T-15106-00,Beauty and the Beast - Belle's Quest (USA),USA
T-15116-00,Beauty and the Beast - Roar of the Beast (USA),USA
T-139016-50,Beavis and Butt-Head (Europe),Europe
T-139016-00,Beavis and Butt-Head (USA),USA
T-139016-00,Beavis and Butt-Head (USA) (Beta),USA
T112046-00,Beethoven's 2nd - The Quest for Pups (USA) (Proto),USA
SF-001,"Beggar Prince (USA, Europe) (Rev 1) (Super Fighter Team)",USA
SF-001,"Beggar Prince (USA, Europe) (Super Fighter Team)",USA
00000000-00,Bell Sensei no Ongaku Kyoushitu (World) (Ja) (v1.02),World
00000000-00,Bell Sensei no Uranai-kan (World) (Ja),World
00000000-00,Bell Sensei no Uranai-kan 2 (World) (Ja),World
00000000-00,Ben 10 (Russia),Russia
MK-1548-00,"Berenstain Bears' Camping Adventure, The (USA)",USA
MK-0000-00,"Berenstain Bears' Camping Adventure, The (USA) (Beta 1)",USA
MK-1548-00,"Berenstain Bears' Camping Adventure, The (USA) (Beta 10)",USA
MK-1548-00,"Berenstain Bears' Camping Adventure, The (USA) (Beta 11)",USA
MK-1548-00,"Berenstain Bears' Camping Adventure, The (USA) (Beta 12)",USA
MK-1548-00,"Berenstain Bears' Camping Adventure, The (USA) (Beta 13)",USA
MK-1548-00,"Berenstain Bears' Camping Adventure, The (USA) (Beta 14)",USA
MK-1548-00,"Berenstain Bears' Camping Adventure, The (USA) (Beta 15)",USA
MK-1548-00,"Berenstain Bears' Camping Adventure, The (USA) (Beta 16)",USA
MK-1548-00,"Berenstain Bears' Camping Adventure, The (USA) (Beta 17)",USA
MK-1548-00,"Berenstain Bears' Camping Adventure, The (USA) (Beta 18)",USA
MK-1548-00,"Berenstain Bears' Camping Adventure, The (USA) (Beta 19)",USA
