serial,name,region
SNSP-YN SNSP-UY,Bubsy in - Claws Encounters of the Furred Kind (Europe),Europe
SNSP-YN SNSP-UY,Bubsy in - Claws Encounters of the Furred Kind (Europe) (Accolade),Europe
SNS-UY,Bubsy in - Claws Encounters of the Furred Kind (USA),USA
SHVC-R7,Bugs Bunny - Hachamecha Daibouken (Japan),Japan
SNSP-R7,Bugs Bunny - Rabbit Rampage (Europe),Europe
SNS-R7,Bugs Bunny - Rabbit Rampage (USA),USA
SNSP-BU,Bulls vs Blazers and the NBA Playoffs (Europe),Europe
SNSP-BU,Bulls vs Blazers and the NBA Playoffs (Europe) (Rev 1),Europe
SNS-BU,Bulls vs Blazers and the NBA Playoffs (USA),USA
SNS-BU,Bulls vs Blazers and the NBA Playoffs (USA) (Rev 1),USA
SHVC-BI-JPN,Burai - Hachigyoku no Yuushi Densetsu (Japan),Japan
SHVC-AYUJ-JPN,Bushi Seiryuuden - Futari no Yuusha (Japan),Japan
SNS-AYKE-USA,Bust-A-Move (USA),USA
SHVC-CV,CB Chara Wars - Ushinawareta Gag (Japan),Japan
SHVC-CC,Cacoma Knight (Japan),Japan
SNS-CC-USA,Cacoma Knight in Bizyland (USA),USA
SNSP-CJ,Cal Ripken Jr. Baseball (Europe),Europe
SNS-CJ,Cal Ripken Jr. Baseball (USA),USA
SHVC-H9,"California Games II (Japan) (En,Ja)",Japan
SNS-C2,California Games II (USA),USA
SHVC-CT,Cameltry (Japan),Japan
SNSP-ACNP-EUR,Cannon Fodder (Europe),Europe
SNS-ASCE-USA,Cannondale Cup (USA),USA
SNS-NL,Capcom's MVP Football (USA),USA
SNS-JL,Capcom's Soccer Shootout (USA),USA
SNSP-6A-UKV,Captain America and the Avengers (Europe),Europe
SNS-6A,Captain America and the Avengers (USA),USA
SNSP-QM,Captain Commando (Europe),Europe
SHVC-QM,Captain Commando (Japan),Japan
SNS-QM,Captain Commando (USA),USA
SNS-CP-USA,"Captain Novolin (USA) (En,Fr,Es)",USA
SHVC-C3,Captain Tsubasa III - Koutei no Chousen (Japan),Japan
SHVC-T4,Captain Tsubasa IV - Pro no Rival-tachi (Japan),Japan
SHVC-ACVJ-JPN,Captain Tsubasa J - The Way to World Youth (Japan),Japan
SHVC-AC5J-JPN,Captain Tsubasa V - Hasha no Shougou Campione (Japan),Japan
SHVC-AS8J-JPN,Caravan Shooting Collection (Japan),Japan
SHVC-RF-JPN,Card Master - Rimusaria no Fuuin (Japan),Japan
SNSP-ACAP-EUR,Carrier Aces (Europe),Europe
SHVC-ACAJ-JPN,Carrier Aces (Japan),Japan
SNS-ACAE-USA,Carrier Aces (USA),USA
SNSP-AXCP-EUR,Casper (Europe),Europe
SHVC-P-AC4J-JPN,Casper (Japan),Japan
SNS-AXCE-USA,Casper (USA),USA
SNS-ADZE-USA,Castlevania - Dracula X (USA),USA
SNSP-ADZP-EUR,Castlevania - Vampire's Kiss (Europe),Europe
SNSP-8W,"Champions - World Class Soccer (Europe) (En,Fr,De,Es)",Europe
SHVC-8W,Champions - World Class Soccer (Japan),Japan
SNS-8W,"Champions - World Class Soccer (USA) (En,Fr,De,Es)",USA
SNSP-5P,Championship Pool (Europe),Europe
SNS-5P,Championship Pool (USA),USA
SNSP-UD-UKV,"Chaos Engine, The (Europe)",Europe
SHVC-AAHJ-JPN,Chaos Seed - Fuusui Kairouki (Japan),Japan
SNS-ZV,Chavez (USA),USA
SNS-AC2E-USA,Chavez II (USA),USA
SHVC-CH,"Chessmaster, The (Japan)",Japan
SNS-CH,"Chessmaster, The (USA)",USA
SNS-CE,Chester Cheetah - Too Cool to Fool (USA),USA
SNS-7C,Chester Cheetah - Wild Wild Quest (USA),USA
SHVC-GO,Chibi Maruko-chan - Harikiri 365-nichi no Maki (Japan),Japan
SHVC-AT8J-JPN,Chibi Maruko-chan - Mezase! Minami no Island!! (Japan),Japan
SHVC-APEJ-JPN,Chinhai (Japan),Japan
SNSP-3C,Choplifter III (Europe),Europe
SHVC-3C,Choplifter III - Rescue-Survive (Japan),Japan
SNS-3C,Choplifter III - Rescue-Survive (USA),USA
SHVC-AANJ-JPN,Chou Aniki - Bakuretsu Rantou Hen (Japan),Japan
SHVC-7G,Chou Gojira - Super Godzilla (Japan),Japan
SHVC-7G,Chou Gojira - Super Godzilla (Japan) (Rev 1),Japan
SHVC-AWOJ-JPN,Chou Mahou Tairiku Wozz (Japan),Japan
SHVC-CM,Chou Makai Mura (Japan),Japan
SHVC-DO,Chou Makai Taisen! Dorabocchan (Japan),Japan
SHVC-M9,Choujikuu Yousai Macross - Scrambled Valkyrie (Japan),Japan
SHVC-XA,Choukou Gasshin Xardion (Japan),Japan
SHVC-ACTJ-JPN,Chrono Trigger (Japan),Japan
SNS-ACTE-USA,Chrono Trigger (USA),USA
SNSP-CK,Chuck Rock (Europe),Europe
SNS-CK,Chuck Rock (USA),USA
SHVC-AKPJ-JPN,Circuit USA (Japan),Japan
SHVC-EQ-JPN,Civilization - Sekai Shichi Daibunmei (Japan),Japan
SHVC-V7,Classic Road (Japan),Japan
SHVC-AV5J-JPN,Classic Road II (Japan),Japan
SNSP-8C,Clay Fighter (Europe),Europe
SNS-8C,Clay Fighter (USA),USA
SNS-7E-USA,Clay Fighter - Tournament Edition (USA),USA
SNSP-ACZP-EUR,Clay Fighter 2 - Judgment Clay (Europe),Europe
SNS-ACZE-USA,Clay Fighter 2 - Judgment Clay (USA),USA
SNSP-Y5,Claymates (Europe),Europe
SNS-Y5,Claymates (USA),USA
SNSP-6C,Cliffhanger (Europe),Europe
SNS-6C,Cliffhanger (USA),USA
SHVC-AJEJ-JPN,Clock Tower (Japan),Japan
SHVC-AQWJ-JPN,Clockwerx (Japan),Japan
SNS-CL,Clue (USA),USA
SNS-AC7E-USA,College Football USA 97 (USA),USA
SNS-ANYE-USA,College Slam (USA),USA
SHVC-BCLJ-JPN,Columns (Japan) (NP),Japan
SHVC-CR,"Combatribes, The (Japan)",Japan
SNS-CR,"Combatribes, The (USA)",USA
SHVC-AUBJ-JPN,Computer Nouryoku Kaiseki - Ultra Baken (Japan),Japan
SNSP-J2,Congo's Caper (Europe),Europe
SNS-J2,Congo's Caper (USA),USA
SNS-CS,Contra III - The Alien Wars (USA),USA
SHVC-CS,Contra Spirits (Japan),Japan
SHVC-B5,Conveni Wars Barcode Battler Senki - Super Senshi Shutsugeki seyo! (Japan),Japan
SNSP-C8,Cool Spot (Europe),Europe
SHVC-C8,Cool Spot (Japan),Japan
SNS-C8,Cool Spot (USA),USA
SNSP-CD,Cool World (Spain),
SNS-CD,Cool World (USA),USA
SHVC-ACLJ-JPN,Coron Land (Japan),Japan
SHVC-CI,Cosmo Gang - The Puzzle (Japan),Japan
SHVC-CA,Cosmo Gang - The Video (Japan),Japan
SHVC-GI,Cosmo Police Galivan II - Arrow of Justice (Japan),Japan
SHVC-KU,Crayon Shin-chan - Arashi o Yobu Enji (Japan),Japan
SHVC-UE,Crayon Shin-chan 2 - Daimaou no Gyakushuu (Japan),Japan
SHVC-AC3J-JPN,Crystal Beans from Dungeon Explorer (Japan),Japan
SHVC-AC6J-JPN,Cu-On-Pa SFC (Japan),Japan
SNSP-AC8P-EUR,Cutthroat Island (Europe),Europe
SNS-AC8E-USA,Cutthroat Island (USA),USA
SHVC-CX,Cyber Knight (Japan),Japan
SHVC-CZ,Cyber Knight II - Chikyuu Teikoku no Yabou (Japan),Japan
SNS-CF,Cyber Spin (USA),USA
SNSP-AV,Cybernator (Europe),Europe
SNS-AV,Cybernator (USA),USA
SHVC-S9,Cyborg 009 (Japan),Japan
SNS-DF,D-Force (USA),USA
SNSP-YF,Daffy Duck - The Marvin Missions (Europe),Europe
SNS-YF,Daffy Duck - The Marvin Missions (USA),USA
SHVC-RT,Dai-3-ji Super Robot Taisen (Japan),Japan
SHVC-RT,Dai-3-ji Super Robot Taisen (Japan) (Rev 1),Japan
SHVC-RT,Dai-3-ji Super Robot Taisen (Japan) (Rev 2),Japan
SHVC-AR4J-JPN,Dai-4-ji Super Robot Taisen (Japan),Japan
SHVC-AR4J-JPN,Dai-4-ji Super Robot Taisen (Japan) (Rev 1),Japan
SHVC-GH,Daibakushou Jinsei Gekijou (Japan),Japan
SHVC-G8,Daibakushou Jinsei Gekijou - Dokidoki Seishun Hen (Japan),Japan
SHVC-AKKJ-JPN,Daibakushou Jinsei Gekijou - Ooedo Nikki (Japan),Japan
SHVC-AZSJ-JPN,Daibakushou Jinsei Gekijou - Zukkoke Salaryman Hen (Japan),Japan
SHVC-AZSJ-JPN,Daibakushou Jinsei Gekijou - Zukkoke Salaryman Hen (Japan) (Rev 1) (NP),Japan
SHVC-ADKJ-JPN,Daikaijuu Monogatari (Japan),Japan
SHVC-ADKJ-JPN,Daikaijuu Monogatari (Japan) (Rev 1),Japan
SHVC-AE6J-JPN,Daikaijuu Monogatari II (Japan),Japan
SHVC-QL,Daikoukai Jidai II (Japan),Japan
SHVC-GS,Daisenryaku Expert (Japan),Japan
SHVC-AEVJ-JPN,Daisenryaku Expert WWII - War in Europe (Japan),Japan
SHVC-DH,Darius Force (Japan),Japan
SNSP-DT,Darius Twin (Europe),Europe
SHVC-DT,Darius Twin (Japan),Japan
SNS-DT,Darius Twin (USA),USA
SHVC-AHLJ-JPN,Dark Half (Japan),Japan
SHVC-QA,Dark Kingdom (Japan),Japan
SHVC-ADUJ-JPN,Dark Law - Meaning of Death (Japan),Japan
SHVC-VI,Date Kimiko no Virtual Tennis (Japan),Japan
SNSP-ZT,David Crane's Amazing Tennis (Europe),Europe
SHVC-ZT,David Crane's Amazing Tennis (Japan),Japan
SNS-ZT,David Crane's Amazing Tennis (USA),USA
SNS-ZT,David Crane's Amazing Tennis (USA) (Arcade),USA
SNSP-ADCP-EUR,Daze Before Christmas (Europe),Europe
SHVC-TE,Dead Dance (Japan),Japan
SHVC-ADTJ-JPN,Deae Tonosama - Appare Ichiban (Japan),Japan
SHVC-9Y,Dear Boys (Japan),Japan
SHVC-DZ,Death Brade (Japan),Japan
SNS-9D,"Death and Return of Superman, The (USA)",USA
SNS-9D,"Death and Return of Superman, The (USA) (Rev 1)",USA
SHVC-ADHJ-JPN,Dekitate High School (Japan),Japan
SNSP-AD6P-EUR,Demolition Man (Europe),Europe
SNS-AD6E-USA,Demolition Man (USA),USA
SHVC-3Z,Demon's Blazon - Makai Mura Monshou Hen (Japan),Japan
SNSP-3Z,Demon's Crest (Europe),Europe
