system,game_name,ch_name,id
3do,Ghost Hunter Series - Kuroki Shi no Kamen (Japan) (Rev 1),幽灵猎人系列-黑死病面具（日版） （修正版 1）,3DO#185
3do,Goal FH (Field Hunter) (Japan),野战猎人(Field Hunter) （日版）,3DO#186
3do,Great! Soccer Kid (Japan),伟大的足球小子（日版）,3DO#187
3do,Gridders (Europe),橄榄球运动员（欧版）,3DO#188
3do,Gridders (Japan),橄榄球运动员（日版）,3DO#189
3do,"Gridders (USA, Korea)",橄榄球运动员（美版，韩版）,3DO#190
3do,Grimm Meisaku Gekijou Vol. 1 - Bremen no Ongakutai (Japan),格林名著剧场1（日版）,3DO#191
3do,Grimm Meisaku Gekijou Vol. 2 - Hansel to Gretel (Japan),格林名著剧场2（日版）,3DO#192
3do,Grimm Meisaku Gekijou Vol. 3 - Akazukin (Japan),格林名著剧场3（日版）,3DO#193
3do,Guardian War (Canada),守护战争（加拿大版）,3DO#194
3do,"Guardian War (USA, Korea)",守护战争（美版，韩版）,3DO#195
3do,Hatsubai 1 Shuunen - 3DO REAL - Tokubetsu Premium CD (Japan),発売１周年　３ＤＯ　ＲＥＡＬ　特別光碟（日版）,3DO#196
3do,Hell - A Cyberpunk Thriller (USA),地狱 一部赛博朋克惊悚片（美版）,3DO#197
3do,Hello Kitty - Asobi no Omochabako (Japan),,3DO#198
3do,"Hirata Shougo Interactive Ehon - Aesop Monogatari Vol. 1 (Japan) (En,Ja,Fr)","平田昭吾互动绘本 伊索寓言物语vol.1（日版） (En,Ja,Fr)",3DO#199
3do,"Hirata Shougo Interactive Ehon - Cinderella (Japan) (En,Ja,Fr)","平田昭吾互动绘本 灰姑娘（日版） (En,Ja,Fr)",3DO#200
3do,"Hirata Shougo Interactive Ehon - Ningyo-hime (Japan) (En,Ja,Fr)","平田昭吾互动绘本 人鱼公主（日版） (En,Ja,Fr)",3DO#201
3do,"Hirata Shougo Interactive Ehon - Ookami to Shichihiki no Koyagi (Japan) (En,Ja,Fr)","平田昭吾互动绘本 狼和七只山羊（日版） (En,Ja,Fr)",3DO#202
3do,"Hirata Shougo Interactive Ehon - Sanbiki no Kobuta (Japan) (En,Ja,Fr)","平田昭吾互动绘本 三只小猪（日版） (En,Ja,Fr)",3DO#203
3do,"Hirata Shougo Interactive Ehon - Shirayuki-hime (Japan) (En,Ja,Fr)",,3DO#204
3do,Hitchcock ni Chousen (Japan),挑战希奇厨师（日版）,3DO#205
3do,"Horde, The (Europe)",部落（欧版）,3DO#206
3do,"Horde, The (Japan)",部落（日版）,3DO#207
3do,"Horde, The (USA)",部落（美版）,3DO#208
3do,"Horde, The (USA) (RCB)",部落（美版） (RCB),3DO#209
3do,Icebreaker (USA),破冰者（美版）,3DO#210
3do,Icebreaker II (USA) (Bonus Disk) (Unl),破冰者2（美版） （附赠光碟） （非官方版）,3DO#211
3do,Ide Yousuke Meijin no Shin Jissen Mahjong (Japan),井出洋介名人的新実戦麻雀（日版）,3DO#212
3do,Idol Janshi Suchie-Pai Special (Japan),偶像雀士特别篇（日版）,3DO#213
3do,Idol Mahjong - Final Romance 2 - Hyper Edition (Japan),麻将罗曼史2（日版）,3DO#214
3do,Igo Time Trial - Shikatsu Daihyakka (Japan),围棋时间·试行 生死大百科（日版）,3DO#215
3do,Igo Time Trial - Tsumego I (Japan),围棋时间·试行 詰碁 1（日版）,3DO#216
3do,Immercenary (Europe),完美世界（欧版）,3DO#217
3do,Immercenary - Combat in a Digital World (USA),完美世界 数字世界中的战斗（美版）,3DO#218
3do,Immortal Desire (USA),不朽的欲望（美版）,3DO#219
3do,"Incredible Machine, The (Europe)",不可思议的机器（欧版）,3DO#220
3do,"Incredible Machine, The (USA)",不可思议的机器（美版）,3DO#221
3do,"Incredible Machine, The - Pararancho (Japan)",不可思议的机器（日版）,3DO#222
3do,Insector War (Japan),杀虫战记（日版）,3DO#223
3do,"Interplay 3DO Buffet, The (USA)",,3DO#224
3do,Iron Angel of the Apocalypse - Tetsujin (Europe),世界末日的铁天使 铁人（欧版）,3DO#225
3do,Iron Angel of the Apocalypse - Tetsujin (USA),世界末日的铁天使 铁人（美版）,3DO#226
3do,Iron Angel of the Apocalypse - The Return (USA),世界末日的铁天使 回归（美版）,3DO#227
3do,Ishida Yoshio Kudan no Igo Seiha (Japan),石田芳夫九段之围棋制霸（日版）,3DO#228
3do,J. B. Harold - Blue Chicago Blues (Japan) (Disc 1),JB哈罗德:蓝色的芝加哥布鲁斯（日版） （光碟 1）,3DO#229
3do,J. B. Harold - Blue Chicago Blues (Japan) (Disc 2),JB哈罗德:蓝色的芝加哥布鲁斯（日版） （光碟 2）,3DO#230
3do,J.League Virtual Stadium '95 (Japan),J联盟虚拟体育场 95（日版）,3DO#231
3do,J.League Virtual Stadium (Japan),J联盟虚拟体育场（日版）,3DO#232
3do,Jammit (USA),,3DO#233
3do,Jiei Shoubou Katsudou no Gakushuu - 3DO TES (3DO Training Educational System) (Japan),,3DO#234
3do,Jietai World (Japan),,3DO#235
3do,Jikki Pachi-Slot Simulator Vol. 1 (Japan),Jikki Pachi插槽模拟器 vol1（日版）,3DO#236
3do,John Madden Football (USA),约翰麦登橄榄球（美版）,3DO#237
3do,John Madden Football (USA) (Alt),约翰麦登橄榄球（美版） (Alt),3DO#238
3do,John Madden NFL Football (Europe),约翰麦登橄榄球（欧版）,3DO#239
3do,Johnny Bazookatone (Europe),约翰尼的火箭筒（欧版）,3DO#240
3do,Johnny Bazookatone (USA),约翰尼的火箭筒（美版）,3DO#241
3do,Jurassic Park Interactive (Japan),侏罗纪公园（日版）,3DO#242
3do,Jurassic Park Interactive (USA),侏罗纪公园（美版）,3DO#243
3do,Kakinoki Shougi (Japan),柿木将棋（日版）,3DO#244
3do,Keiba Saishou no Housoku (Japan),競馬最勝的法則（日版）,3DO#245
3do,Kero Kero Keroppi to Origami no Tabibito (Japan),青蛙大冒险（日版）,3DO#246
3do,Killing Time (Europe),杀戮时刻（欧版）,3DO#247
3do,Killing Time (USA) (RE1),杀戮时刻（美版） (RE1),3DO#248
3do,Killing Time (USA) (RE2),杀戮时刻（美版） (RE2),3DO#249
3do,"Kingdom - The Far Reaches (USA, Europe)",王国-遥远（美版 欧版）,3DO#250
3do,Konpeki no Kantai (Japan),绀碧之舰队（日版）,3DO#251
3do,Konpeki no Kantai (Japan) (Rev 1),绀碧之舰队（日版） （修正版 1）,3DO#252
3do,Kyuumei Kyuukyuu Teate no ABC (Japan),,3DO#253
3do,Kyuusei Senjutsu ni Yoru - Heisei Kaiun Koyomi (Japan),九星占卜术 开运历（日版）,3DO#254
3do,"Last Bounty Hunter, The (USA)",最后的赏金猎人（美版）,3DO#255
3do,Lemmings (Japan),旅鼠（日版）,3DO#256
3do,Lemmings (USA),旅鼠（美版）,3DO#257
3do,"Life Stage, The - Virtual House (Japan)",生命阶段 虚拟小屋（日版）,3DO#258
3do,"Life Stage, The - Virtual House (Japan) (Rev 1)",生命阶段 虚拟小屋（日版） （修正版 1）,3DO#259
3do,"Life Stage, The - Virtual House (USA, Korea)",生命阶段 虚拟小屋（美版，韩版）,3DO#260
3do,"Little House, The (Japan)",,3DO#261
