system,game_name,ch_name,date,id,img
pcfx,Zen Nihon Joshi Pro Wres - Queen of Queens (Japan) (Disc B) (Zenjo vs KWP),全日本女子职业摔角  （日版） (Disc B) (Zenjo vs KWP),1995-3-24,PCFX#60,https://data.yang2000ling.com/img/pcfx_200/PCFX59.jpg
pcfx,Boundary Gate - Daughter of Kingdom (Japan),边界之门-王国的女儿  （日版）,1997-01-24,PCFX#61,https://data.yang2000ling.com/img/pcfx_200/PCFX61.jpg
pcfx,Ginga Ojousama Densetsu Yuna FX - Kanashimi no Selene (Japan),银河公主传说优奈FX-哀伤的海妖塞壬  （日版）,1996-03-08,PCFX#62,https://data.yang2000ling.com/img/pcfx_200/PCFX62.jpg
pcfx,Hataraku Shoujo - Tekipaki Working Love FX (Japan), 乐天少女俱乐部 （日版）,1998-03-27,PCFX#63,https://data.yang2000ling.com/img/pcfx_200/PCFX63.jpg
pcfx,Minimum Nanonic (Japan),迷你宝贝  （日版）,1997-10-24,PCFX#64,https://data.yang2000ling.com/img/pcfx_200/PCFX64.jpg
pcfx,Miraculum - The Last Revelation (Japan),奇迹-最后的启示  （日版）,1996-03-29,PCFX#65,https://data.yang2000ling.com/img/pcfx_200/PCFX65.jpg
pcfx,Sotsugyou R - Graduation Real (Japan),卒业R-真实毕业  （日版）,1998-01-16,PCFX#66,https://data.yang2000ling.com/img/pcfx_200/PCFX66.jpg
pcfx,Cutey Honey FX (Japan),甜心战士FX  （日版）,1995-11-10,PCFX#67,https://data.yang2000ling.com/img/pcfx_200/PCFX67.jpg
pcfx,Tengai Makyou - Dennou Karakuri Kakutouden (Japan),天外魔境-电脑络缲格斗传  （日版）,1995-07-28,PCFX#68,https://data.yang2000ling.com/img/pcfx_200/PCFX68.jpg
pcfx,Chip-chan Kick! (Japan),史莱姆汽泡姊妹 （日版）,1996-09-13,PCFX#69,https://data.yang2000ling.com/img/pcfx_200/PCFX69.jpg
pcfx,Pachio-kun FX - Maboroshi no Shima Daisakusen (Japan),柏青哥君 幻之岛大决战 （日版）,1995-09-22,PCFX#70,https://data.yang2000ling.com/img/pcfx_200/PCFX70.jpg
pcfx,Makeruna! Makendou Z (Japan),魔剑道Z （日版）,1998-03-20,PCFX#71,https://data.yang2000ling.com/img/pcfx_200/PCFX71.jpg
pcfx,Amateur Teikyou CD-ROM (Japan) (DOS-V-you) (NEC PC-FXGA),アマチュア提供ＣＤ‐ＲＯＭ （日版） (DOS-V-you) (NEC PC-FXGA),,PCFX#72,https://data.yang2000ling.com/img/pcfx_200/PCFX.jpg
pcfx,Ruruli Ra Rura (Japan),路路里拉路拉 （日版）,1998-02-20,PCFX#73,https://data.yang2000ling.com/img/pcfx_200/PCFX73.jpg
pcfx,Choujin Heiki Zeroigar (Japan),超神兵器ゼロイガー （日版）,1997-08-08,PCFX#74,https://data.yang2000ling.com/img/pcfx_200/PCFX74.jpg
pcfx,Kishin Douji Zenki FX - Vajra Fight (Japan),鬼神童子FX-金刚炎斗（日版）,1995-12-22,PCFX#75,https://data.yang2000ling.com/img/pcfx_200/PCFX75.jpg
pcfx,Super Real Mahjong P.V FX (Japan),超真实麻将 P.V FX （日版）,1996-03-29,PCFX#76,https://data.yang2000ling.com/img/pcfx_200/PCFX76.jpg
pcfx,Tokimeki Card Paradise - Koi no Royal Straight Flush (Japan),纯爱扑克牌乐园（日版）,1996-01-26,PCFX#77,https://data.yang2000ling.com/img/pcfx_200/PCFX77.jpg
pcfx,Shanghai - Banri no Choujou (Japan),上海-万里长城 （日版）,1996-03-15,PCFX#78,https://data.yang2000ling.com/img/pcfx_200/PCFX78.jpg
