system,game_name,ch_name,id
n64,"Daffy Duck Starring as Duck Dodgers (Europe) (En,Fr,De,Es,It,Nl)","道奇鸭火星历险记 （欧版） (En,Fr,De,Es,It,Nl)",N64#159
n64,Dance Dance Revolution - Disney Dancing Museum (Japan),热舞革命-迪斯尼舞蹈博物馆 （日版）,N64#160
n64,Dark Rift (Europe),宇宙战士格斗 （欧版）,N64#161
n64,Dark Rift (USA),宇宙战士格斗 （美版）,N64#162
n64,Deadly Arts (USA),死亡格斗 （美版）,N64#163
n64,Defi au Tetris Magique (France),魔法方块挑战 （法国版）,N64#164
n64,Densha de Go! 64 (Japan),电车Go!64 （日版）,N64#165
n64,Derby Stallion 64 (Japan),德比赛马64 （日版）,N64#166
n64,Derby Stallion 64 (Japan) (Beta),德比赛马64 （日版） （测试版）,N64#167
n64,"Destruction Derby 64 (Europe) (En,Fr,De)","德比破坏赛车64 （欧版） (En,Fr,De)",N64#168
n64,Destruction Derby 64 (USA),德比破坏赛车64 （美版）,N64#169
n64,Dezaemon 3D (Japan),雷电战机3D （日版）,N64#170
n64,"Diddy Kong Racing (Europe) (En,Fr,De)","迪迪刚赛车 （欧版） (En,Fr,De)",N64#171
n64,"Diddy Kong Racing (Europe) (En,Fr,De) (Rev 1)","迪迪刚赛车 （欧版） (En,Fr,De) (Rev 1)",N64#172
n64,Diddy Kong Racing (Japan),迪迪刚赛车 （日版）,N64#173
n64,"Diddy Kong Racing (USA) (En,Fr)","迪迪刚赛车 （美版） (En,Fr)",N64#174
n64,"Diddy Kong Racing (USA) (En,Fr) (Rev 1)","迪迪刚赛车 （美版） (En,Fr) (Rev 1)",N64#175
n64,Die Hard 64 (USA) (Proto) (Level 1),虎胆龙威64 （美版） (Proto) (Level 1),N64#176
n64,Die Hard 64 (USA) (Proto) (Level 2),虎胆龙威64 （美版） (Proto) (Level 2),N64#177
n64,Die Hard 64 (USA) (Proto) (Level 3),虎胆龙威64 （美版） (Proto) (Level 3),N64#178
n64,"Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It)","唐老鸭大冒险-嘎嘎攻击 （美版） (En,Fr,De,Es,It)",N64#179
n64,"Donald Duck - Quack Attack (Europe) (En,Fr,De,Es,It)","唐老鸭大冒险-嘎嘎攻击 （欧版） (En,Fr,De,Es,It)",N64#180
n64,Dongwu Senlin (China) (iQue),动物森林 （中国版） （神游版）,N64#181
n64,"Donkey Kong 64 (Europe) (En,Fr,De,Es)","大金刚64 （欧版） (En,Fr,De,Es)",N64#182
n64,Donkey Kong 64 (Japan),大金刚64 （日版）,N64#183
n64,Donkey Kong 64 (USA),大金刚64 （美版）,N64#184
n64,Donkey Kong 64 (USA) (Demo) (Kiosk),大金刚64 （美版） （演示版） (Kiosk),N64#185
n64,Doom 64 (Europe),毁灭战士64 （欧版）,N64#186
n64,Doom 64 (Japan),毁灭战士64 （日版）,N64#187
n64,Doom 64 (USA),毁灭战士64 （美版）,N64#188
n64,Doom 64 (USA) (Rev 1),毁灭战士64 （美版） (Rev 1),N64#189
n64,Doraemon - Nobita to 3tsu no Seireiseki (Japan),哆啦A梦-三颗精灵石 （日版）,N64#190
n64,Doraemon 2 - Nobita to Hikari no Shinden (Japan),哆啦A梦2-光之神殿 （日版）,N64#191
n64,Doraemon 3 - Nobita no Machi SOS! (Japan),哆啦A梦3-野比太町大营救! （日版）,N64#192
n64,Doubutsu no Mori (Japan),动物之森 （日版）,N64#193
n64,Dr. Mario 64 (USA),马里奥医生64 （美版）,N64#194
n64,Dragon Sword 64 (Europe) (Proto),龙之剑64 （欧版） (Proto),N64#195
n64,Dragon Sword 64 (USA) (Proto) (1999-08-25),龙之剑64 （美版） (Proto) (1999-08-25),N64#196
n64,Dual Heroes (Europe),英雄战队 （欧版）,N64#197
n64,Dual Heroes (Japan),英雄战队 （日版）,N64#198
n64,Dual Heroes (USA),英雄战队 （美版）,N64#199
n64,"Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es)","道奇鸭火星历险记 （美版） (En,Fr,Es)",N64#200
n64,Duke Nukem - Zero Hour (Europe),毁灭公爵-关键时刻 （欧版）,N64#201
n64,Duke Nukem - Zero Hour (France),毁灭公爵-关键时刻 （法国版）,N64#202
n64,Duke Nukem - Zero Hour (USA),毁灭公爵-关键时刻 （美版）,N64#203
n64,Duke Nukem 64 (Europe),毁灭公爵64 （欧版）,N64#204
n64,Duke Nukem 64 (Europe) (Beta),毁灭公爵64 （欧版） （测试版）,N64#205
n64,Duke Nukem 64 (France),毁灭公爵64 （法国版）,N64#206
n64,Duke Nukem 64 (USA),毁灭公爵64 （美版）,N64#207
n64,"Earthworm Jim 3D (Europe) (En,Fr,De,Es,It)","蚯蚓吉姆3D （欧版） (En,Fr,De,Es,It)",N64#208
n64,Earthworm Jim 3D (USA),蚯蚓吉姆3D （美版）,N64#209
n64,ECW Hardcore Revolution (Europe),终极摔交锦标赛 （欧版）,N64#210
n64,ECW Hardcore Revolution (Germany),终极摔交锦标赛 （德国版）,N64#211
n64,ECW Hardcore Revolution (USA),终极摔交锦标赛 （美版）,N64#212
n64,Eikou no Saint Andrews (Japan),荣光的圣安德鲁斯老球场 （日版）,N64#213
n64,Eltale Monsters (Japan),圣魔世纪 （日版）,N64#214
n64,Excitebike 64 (Europe),越野机车64 （欧版）,N64#215
n64,Excitebike 64 (Japan),越野机车64 （日版）,N64#216
n64,Excitebike 64 (USA),越野机车64 （美版）,N64#217
n64,Excitebike 64 (USA) (Demo) (Kiosk),越野机车64 （美版） （演示版） (Kiosk),N64#218
n64,Excitebike 64 (USA) (Rev 1),越野机车64 （美版） (Rev 1),N64#219
n64,"Extreme-G (Europe) (En,Fr,De,Es,It)","极限摩托车-G （欧版） (En,Fr,De,Es,It)",N64#220
n64,Extreme-G (Japan),极限摩托车-G （日版）,N64#221
n64,Extreme-G (USA),极限摩托车-G （美版）,N64#222
n64,"Extreme-G XG2 (Europe) (En,Fr,De,Es,It)","极限摩托车-G XG2 （欧版） (En,Fr,De,Es,It)",N64#223
n64,Extreme-G XG2 (Japan),极限摩托车-G XG2 （日版）,N64#224
n64,Extreme-G XG2 (USA),极限摩托车-G XG2 （美版）,N64#225
n64,F-1 World Grand Prix (Europe),F1国际赛车大奖赛 （欧版）,N64#226
n64,F-1 World Grand Prix (Europe) (Beta),F1国际赛车大奖赛 （欧版） （测试版）,N64#227
n64,F-1 World Grand Prix (France),F1国际赛车大奖赛 （法国版）,N64#228
n64,F-1 World Grand Prix (Germany),F1国际赛车大奖赛 （德国版）,N64#229
n64,F-1 World Grand Prix (Japan),F1国际赛车大奖赛 （日版）,N64#230
n64,F-1 World Grand Prix (USA),F1国际赛车大奖赛 （美版）,N64#231
n64,"F-1 World Grand Prix II (Europe) (En,Fr,De,Es)","F1国际赛车大奖赛 II （欧版） (En,Fr,De,Es)",N64#232
n64,F-Zero X (Europe),零式赛车X （欧版）,N64#233
n64,F-Zero X (Japan),零式赛车X （日版）,N64#234
n64,F-Zero X (USA),零式赛车X （美版）,N64#235
n64,F-Zero X - Weilai Saiche (China) (iQue),零式赛车X - 未来赛车 （中国版） （神游版）,N64#236
n64,F-Zero X - Weilai Saiche (China) (v2) (iQue) (Manual),零式赛车X - 未来赛车 （中国版） (v2) （神游版） (Manual),N64#237
n64,F-Zero X - Weilai Saiche (China) (v4) (iQue) (Manual),零式赛车X - 未来赛车 （中国版） (v4) （神游版） (Manual),N64#238
n64,"F1 Pole Position 64 (Europe) (En,Fr,De)","休曼GP赛车 （欧版） (En,Fr,De)",N64#239
n64,"F1 Pole Position 64 (USA) (En,Fr,De)","休曼GP赛车 （美版） (En,Fr,De)",N64#240
n64,"F1 Racing Championship (Brazil) (En,Fr)","F1赛车锦标赛 （巴西版） (En,Fr)",N64#241
n64,"F1 Racing Championship (Europe) (En,Fr,De,Es,It)","F1赛车锦标赛 （欧版） (En,Fr,De,Es,It)",N64#242
n64,Famista 64 (Japan),南梦宫棒球64 （日版）,N64#243
n64,"FIFA - Road to World Cup 98 (Europe) (En,Fr,De,Es,It,Nl,Sv)","FIFA足球 98-世界杯之路 （欧版） (En,Fr,De,Es,It,Nl,Sv)",N64#244
n64,"FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv)","FIFA足球 98-世界杯之路 （美版） (En,Fr,De,Es,It,Nl,Sv)",N64#245
n64,FIFA - Road to World Cup 98 - World Cup e no Michi (Japan),FIFA足球 98-世界杯之路 - World Cup e no Michi （日版）,N64#246
n64,"FIFA 64 (Europe) (En,Fr,De)","FIFA世界杯64 （欧版） (En,Fr,De)",N64#247
n64,"FIFA 99 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv)","FIFA足球 99 （欧版） (En,Fr,De,Es,It,Nl,Pt,Sv)",N64#248
n64,"FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv)","FIFA足球 99 （美版） (En,Fr,De,Es,It,Nl,Pt,Sv)",N64#249
n64,"FIFA Soccer 64 (USA) (En,Fr,De)","FIFA足球64 （美版） (En,Fr,De)",N64#250
n64,Fighter Destiny 2 (USA),格斗传承2 （美版）,N64#251
n64,Fighters Destiny (Europe),格斗传承 （欧版）,N64#252
n64,Fighters Destiny (France),格斗传承 （法国版）,N64#253
n64,Fighters Destiny (Germany),格斗传承 （德国版）,N64#254
n64,Fighters Destiny (USA),格斗传承 （美版）,N64#255
n64,Fighting Cup (Japan),格斗传承 （日版）,N64#256
n64,Fighting Force 64 (Europe),格斗力量64 （欧版）,N64#257
n64,Fighting Force 64 (USA),格斗力量64 （美版）,N64#258
n64,Flying Dragon (Europe),飞龙之拳 （欧版）,N64#259
n64,Flying Dragon (USA),飞龙之拳 （美版）,N64#260
n64,"Forsaken (Europe) (En,Fr,Es,It)","背弃 （欧版） (En,Fr,Es,It)",N64#261
n64,Forsaken (Germany),背弃 （德国版）,N64#262
