system,game_id,game_name,ch_name,UMD_ID,date,genre,img,language,publisher,region
psp,1568,Play Chapas - Football Edition,瓶盖系列-足球篇,UCES-01134,2008-09-17,Sports,https://data.yang2000ling.com/img/psp_200/1568.jpg,西班牙语,Sony,西班牙版
psp,1569,Star Wars - The Force Unleashed,星球大战-原力释放,ULES-00982,2008-09-19,Action,https://data.yang2000ling.com/img/psp_200/1569.jpg,德语|法文,LucasArts,欧版
psp,1570,Grand Theft Auto - Vice City Stories,侠盗猎车-罪恶都市传奇,ULES-00503,2008-09-20,Action,https://data.yang2000ling.com/img/psp_200/1570.jpg,德语,Take 2 Interactive,德版
psp,1571,LEGO Batman - The Video Game,乐高蝙蝠侠,ULUS-10380,2008-09-21,Action Adventure,https://data.yang2000ling.com/img/psp_200/1571.jpg,英文,Warner Interactive,美版
psp,1572,Neo Angelique Special,新安琪莉可,ULJM-05374,2008-09-21,RPG,https://data.yang2000ling.com/img/psp_200/1572.jpg,日语,Koei,日版
psp,1573,WALL-E,机器人总动员,ULES-01072,2008-09-22,Platformer,https://data.yang2000ling.com/img/psp_200/1573.jpg,英文,THQ,欧版
psp,1574,Hard Rock Casino,硬石赌城,ULES-00638,2008-01-26,Gambling,https://data.yang2000ling.com/img/psp_200/1574.jpg,西班牙语|意大利语|德语|英文|法文,Oxygen Interactive,欧版
psp,1575,Mana-Khemia - Gakuen no Renkinjutsushi-tachi Portable +,玛娜传奇-学园的炼金术士们 携带版,ULJM-05345,2008-09-24,RPG,https://data.yang2000ling.com/img/psp_200/1575.jpg,日语,Gust,日版
psp,1576,Pipe Mania,疯狂水管工,ULES-01094,2008-09-24,Puzzle,https://data.yang2000ling.com/img/psp_200/1576.jpg,西班牙语|意大利语|德语|荷兰语|英文,Empire Interactive,欧版
psp,1577,Blokus Portable - Steambot Championship,角斗士俱乐部 携带版,ULES-01016,2008-09-24,Board Games,https://data.yang2000ling.com/img/psp_200/1577.jpg,西班牙语|意大利语|德语|英文|法文,Majesco Games,欧版
psp,1578,Buzz! Master Quiz,喧闹少年找碴大师 硕士测验,UCUS-98729,2008-09-24,Trivia,https://data.yang2000ling.com/img/psp_200/1578.jpg,英文,Sony,美版
psp,1579,PC Engine Best Collection - Soldier Collection,PCE游戏精选集-星际战士合集,ULJM-05377,2008-09-25,Compilation,https://data.yang2000ling.com/img/psp_200/1579.jpg,日语,Hudson,日版
psp,1580,Princess Maker 5 Portable,美少女梦工场5 携带版,ULJM-05337,2013-02-11,Strategy,https://data.yang2000ling.com/img/psp_200/1580.jpg,日语,CyberFront,日版
psp,1581,Buzz! Master Quiz,喧闹少年找碴大师 硕士测验,UCES-01034,2008-09-25,Trivia,https://data.yang2000ling.com/img/psp_200/1581.jpg,挪威语|丹麦语,Sony,欧版
psp,1582,PDC World Championship Darts 2008,PDC世界飞镖锦标赛2008,ULES-01096,2008-09-26,Sports,https://data.yang2000ling.com/img/psp_200/1582.jpg,西班牙语|意大利语|德语|荷兰语|英文|法文,Oxygen Interactive,欧版
psp,1583,Ikki Tousen - Eloquent Fist,一骑当千-雄辩之拳,ULJS-00152,2008-09-30,Fighting,https://data.yang2000ling.com/img/psp_200/1583.jpg,日语,Marvelous,日版
psp,1584,To Love Ru - Doki Doki Rinkai Gakkou Hen,出包王女恋爱的烦恼-心跳!临海学校篇,ULJS-00154,2008-10-01,Action,https://data.yang2000ling.com/img/psp_200/1584.jpg,日语,Marvelous,日版
psp,1585,FIFA 09,FIFA足球2009,ULES-01135,2008-10-02,Sports,https://data.yang2000ling.com/img/psp_200/1585.jpg,英文,Electronic Arts,欧版
psp,1586,Wild Arms XF,荒野兵器-交叉火力,ULES-01085,2008-10-03,Strategy,https://data.yang2000ling.com/img/psp_200/1586.jpg,英文,505 Games,欧版
psp,1587,Valhalla Knights 2,瓦尔哈拉骑士2,ULUS-10366,2008-10-04,Action RPG,https://data.yang2000ling.com/img/psp_200/1587.jpg,英文,Xseed,美版
psp,1588,FIFA 09,FIFA足球2009,ULES-01139,2008-10-04,Sports,https://data.yang2000ling.com/img/psp_200/1588.jpg,西班牙语,Electronic Arts,西班牙版
psp,1589,NBA 09 - The Inside,美国职业篮球联赛09,UCUS-98715,2008-10-04,Sports,https://data.yang2000ling.com/img/psp_200/1589.jpg,英文,Sony,美版
psp,1590,Daisenryaku - Daitoua Kouboushi - Tora Tora Tora Ware Kishuu ni Seikou Seri,大战略 大东亚兴亡史-虎虎虎 奇袭成功,ULJS-00147,2008-10-05,Strategy,https://data.yang2000ling.com/img/psp_200/1590.jpg,日语,System Soft,日版
psp,1591,NBA Live 09,NBA实况09,ULUS-10370,2008-10-05,Sports,https://data.yang2000ling.com/img/psp_200/1591.jpg,英文|法文,Electronic Arts,美版
psp,1592,FIFA 09,FIFA足球2009,ULES-01137,2008-11-28,Sports,https://data.yang2000ling.com/img/psp_200/1592.jpg,德语,Electronic Arts,德版
psp,1593,B-Boy,街舞男孩,ULUS-10363,2008-10-06,Rhythm,https://data.yang2000ling.com/img/psp_200/1593.jpg,英文,SouthPeak Games,美版
psp,1594,Himitsu no Radio,乃木坂春香的秘密-开始COSPLAY秘密电台,ULJS-00161,2008-10-07,Other,https://data.yang2000ling.com/img/psp_200/1594.jpg,日语,ASCII Media Works,日版
psp,1595,Umewaza Ykari no Yasashi Igo,梅泽由香里的简单围棋,ULJM-05384,2008-10-07,Board Games,https://data.yang2000ling.com/img/psp_200/1595.jpg,日语,NCS,日版
psp,1596,Macross Ace Frontier,超时空要塞 王牌边界,ULJS-00158,2008-10-07,Action,https://data.yang2000ling.com/img/psp_200/1596.jpg,日语,Bandai Namco Games,日版
psp,1597,FIFA 09,FIFA足球2009,ULES-01136,2008-10-04,Sports,https://data.yang2000ling.com/img/psp_200/1597.jpg,法文,Electronic Arts,法版
psp,1598,NBA Live 09,NBA实况09,ULES-01148,2008-10-10,Sports,https://data.yang2000ling.com/img/psp_200/1598.jpg,法文,Electronic Arts,法版
psp,1599,Ace Combat X - Skies of Deception (v2),皇牌空战X-诡影苍穹(v2),ULJS-00086,2008-10-10,Simulation,https://data.yang2000ling.com/img/psp_200/1599.jpg,韩语|西班牙语|日语|意大利语|德语|英文|法文,Namco,日版
psp,1600,Code Lyoko - Quest for Infinity,虚幻勇士-追求无限,ULES-01095,2008-10-10,Action,https://data.yang2000ling.com/img/psp_200/1600.jpg,西班牙语|意大利语|英文|法文,Game Factory,欧版
psp,1601,R-Type Tactics,异形战机 策略版,ULES-01121,2008-10-10,Shooter,https://data.yang2000ling.com/img/psp_200/1601.jpg,西班牙语|意大利语|德语|英文|法文,Rising Star Games,欧版
psp,1602,FIFA 09,FIFA足球2009,ULES-01138,2008-10-11,Sports,https://data.yang2000ling.com/img/psp_200/1602.jpg,意大利语,Electronic Arts,意大利版
psp,1603,NBA Live 09,NBA实况09,ULES-01149,2008-10-29,Sports,https://data.yang2000ling.com/img/psp_200/1603.jpg,西班牙语,Electronic Arts,西班牙版
psp,1604,NBA Live 09,NBA实况09,ULES-01147,2008-10-13,Sports,https://data.yang2000ling.com/img/psp_200/1604.jpg,意大利语|德语|英文,Electronic Arts,欧版
psp,1605,Yuusha no Kuse ni Namaikida or 2,勇者别嚣张or2,UCJS-10086,2008-10-14,RPG,https://data.yang2000ling.com/img/psp_200/1605.jpg,日语,Sony,日版
psp,1606,LEGO Batman - The Video Game,乐高蝙蝠侠,ULES-01151,2008-10-15,Action Adventure,https://data.yang2000ling.com/img/psp_200/1606.jpg,西班牙语|意大利语|德语|丹麦语|英文|法文,Warner Interactive,欧版
psp,1607,My Spanish Coach,我的西班牙语老师,ULUS-10378,2008-10-16,Edutainment,https://data.yang2000ling.com/img/psp_200/1607.jpg,英文,UbiSoft,美版
psp,1608,FIFA 09,FIFA足球2009,ULES-01143,2008-10-19,Sports,https://data.yang2000ling.com/img/psp_200/1608.jpg,葡萄牙语,Electronic Arts,欧版
psp,1609,FIFA 08,FIFA足球2008,ULES-00896,2008-10-19,Sports,https://data.yang2000ling.com/img/psp_200/1609.jpg,葡萄牙语,Electronic Arts,欧版
psp,1610,FIFA 08,FIFA足球2008,ULAS-42114,2008-10-19,Sports,https://data.yang2000ling.com/img/psp_200/1610.jpg,中文|英文,Electronic Arts,中国版
psp,1611,Garnet Chronicle,加雷特编年史 红辉的魔石,ULJM-05369,2008-10-21,RPG,https://data.yang2000ling.com/img/psp_200/1611.jpg,日语,SEGA,日版
psp,1612,Bleach Soul Carnival,死神 灵魂嘉年华,UCJS-10085,2008-10-21,Action,https://data.yang2000ling.com/img/psp_200/1612.jpg,日语,Sony,日版
psp,1613,Star Ocean - First Departure,星之海洋-初次启航,ULUS-10374,2008-10-21,RPG,https://data.yang2000ling.com/img/psp_200/1613.jpg,英文,Square Enix,美版
psp,1614,Midnight Club - L. A. Remix,湾岸午夜俱乐部4-洛杉矶 复刻版,ULES-01144,2008-10-21,Racing,https://data.yang2000ling.com/img/psp_200/1614.jpg,西班牙语|意大利语|德语|英文|法文,Rockstar Games,欧版
psp,1615,Spider-Man - Web of Shadows,蜘蛛侠-暗影之网,ULUS-10389,2008-10-22,3D Platformer,https://data.yang2000ling.com/img/psp_200/1615.jpg,英文|法文,Activision,美版
psp,1616,Ratatouille,料理鼠王,ULES-00743,2008-10-22,Platformer,https://data.yang2000ling.com/img/psp_200/1616.jpg,,THQ,欧版
psp,1617,Midnight Club - L. A. Remix,湾岸午夜俱乐部4-洛杉矶 复刻版,ULUS-10383,2008-10-22,Racing,https://data.yang2000ling.com/img/psp_200/1617.jpg,英文,Rockstar Games,美版
psp,1618,NBA Live 09,NBA实况09,ULJM-05386,2008-10-23,Sports,https://data.yang2000ling.com/img/psp_200/1618.jpg,日语,Electronic Arts,日版
psp,1619,Minna de Dokusho - Keatai Shousetsu Desu,大家一起读书-手机小说,ULJM-05393,2008-10-23,Other,https://data.yang2000ling.com/img/psp_200/1619.jpg,日语,Dorart,日版
psp,1620,Crash - Mind Over Mutant,古惑狼-邪恶意志,ULUS-10377,2008-10-23,Platformer,https://data.yang2000ling.com/img/psp_200/1620.jpg,英文|法文,Activision,美版
psp,1621,DJ Max Emotional Sense P - Classiquai Edition (Special Package),DJMax3-酷懒之味 携带版(Special,ULKS-46190,2008-10-23,Rhytm,https://data.yang2000ling.com/img/psp_200/1621.jpg,韩语|日语|英文,Pentavision,韩版
psp,1622,Moeru Mahjong - Moe-Jong (Premium Box),萌麻将-萌将(Premium,ULJM-05375,2008-10-24,Board Games,https://data.yang2000ling.com/img/psp_200/1622.jpg,日语,Hudson,日版
psp,1623,Spider-Man - Web of Shadows (v2),蜘蛛侠-暗影之网(v2),ULES-01174,2008-10-24,Action,https://data.yang2000ling.com/img/psp_200/1623.jpg,西班牙语|意大利语|德语|英文|法文,Activision,欧版
psp,1624,"Playstation Network Collection - Power Pack, The",PSN合集-力量包,UCES-01160,2008-10-25,Compilation,https://data.yang2000ling.com/img/psp_200/1624.jpg,西班牙语|意大利语|德语|英文|法文,Sony,欧版
psp,1625,SNK Arcade Classics Volume 1,SNK经典街机游戏合集Vol.1,ULES-01105,2008-10-25,Compilation,https://data.yang2000ling.com/img/psp_200/1625.jpg,英文,SNK Playmore,欧版
psp,1626,"Playstation Network Collection - Puzzle Pack, The",PSN合集-益智包,UCES-01159,2008-10-25,Compilation,https://data.yang2000ling.com/img/psp_200/1626.jpg,西班牙语|意大利语|德语|英文|法文,Sony,欧版
psp,1627,Crash - Mind Over Mutant,古惑狼-邪恶意志,ULES-01170,2008-10-28,Platformer,https://data.yang2000ling.com/img/psp_200/1627.jpg,英文,Sierra Entertainment,欧版
psp,1628,Neverland Card War - Cardinal Arc,卡尔迪那鲁之弧 混沌的封牌,ULJM-05365,2008-10-28,Strategy,https://data.yang2000ling.com/img/psp_200/1628.jpg,日语,Idea Factory,日版
psp,1629,Ben 10 - Alien Force,BEN10-外星神力,ULUS-10387,2008-10-30,Action,https://data.yang2000ling.com/img/psp_200/1629.jpg,西班牙语|意大利语|德语|英文|法文,D3 Publisher,美版
psp,1630,Neverland Card Battles,卡尔迪那鲁之弧 混沌的封牌,ULUS-10382,2008-10-30,Strategy,https://data.yang2000ling.com/img/psp_200/1630.jpg,英文,Yuke's Company,美版
psp,1631,Crimsongem Saga,加雷特编年史 红辉的魔石,UCAS-40212,2008-10-31,RPG,https://data.yang2000ling.com/img/psp_200/1631.jpg,中文|英文,Sony,中国版
psp,1632,Manhunt 2,侠盗猎魔2,ULES-00756,2008-10-31,Action,https://data.yang2000ling.com/img/psp_200/1632.jpg,西班牙语|意大利语|德语|英文|法文,Rockstar Games,欧版
psp,1633,"King of Fighters Collection - The Orochi Saga, The",格斗之王合集-大蛇传说,ULUS-10360,2008-10-31,Fighting,https://data.yang2000ling.com/img/psp_200/1633.jpg,英文,SNK Playmore,美版
psp,1634,Star Ocean - First Departure,星之海洋-初次启航,ULES-01154,2008-11-03,RPG,https://data.yang2000ling.com/img/psp_200/1634.jpg,英文,Square Enix,欧版
psp,1635,Pro Evolution Soccer 2009,实况足球2009,ULES-01176,2008-11-03,Sports,https://data.yang2000ling.com/img/psp_200/1635.jpg,西班牙语|葡萄牙语|意大利语|德语|英文|法文,Konami,欧版
psp,1636,WWE SmackDown! vs. RAW 2009 featuring ECW,世界摔跤联盟2009,ULES-01166,2008-11-05,Fighting,https://data.yang2000ling.com/img/psp_200/1636.jpg,西班牙语|意大利语|德语|英文|法文,THQ,欧版
psp,1637,Tom Clancy's EndWar,终结战争,ULUS-10358,2008-11-05,Strategy,https://data.yang2000ling.com/img/psp_200/1637.jpg,英文,UbiSoft,美版
psp,1638,Monster Jam - Urban Assault,怪物卡车-城市乱斗,ULUS-10379,2008-11-05,Racing,https://data.yang2000ling.com/img/psp_200/1638.jpg,英文,Activision,美版
psp,1639,Crash - Mind Over Mutant,古惑狼-邪恶意志,ULES-01173,2008-11-06,Platformer,https://data.yang2000ling.com/img/psp_200/1639.jpg,荷兰语|法文,Sierra Entertainment,欧版
psp,1640,Bleach Soul Carnival,死神 灵魂嘉年华,UCAS-40234,2008-11-07,Action,https://data.yang2000ling.com/img/psp_200/1640.jpg,中文,Sony,中国版
psp,1641,Tom Clancy's EndWar (v2),终结战争(v2),ULES-01068,2008-11-07,Strategy,https://data.yang2000ling.com/img/psp_200/1641.jpg,西班牙语|意大利语|德语|英文|法文,UbiSoft,欧版
psp,1642,WWE SmackDown! vs. RAW 2009 featuring ECW,世界摔跤联盟2009,ULES-01165,2008-11-10,Fighting,https://data.yang2000ling.com/img/psp_200/1642.jpg,英文,THQ,欧版
psp,1643,Shaun White Snowboarding,肖恩怀特滑雪,ULES-01185,2008-11-10,Sports,https://data.yang2000ling.com/img/psp_200/1643.jpg,西班牙语|意大利语|德语|英文|法文,UbiSoft,欧版
psp,1644,Chuumon Shiyouze! Oretachi no Sekai,订购吧 我们的世界!,ULJM-05381,2008-11-11,Action,https://data.yang2000ling.com/img/psp_200/1644.jpg,日语,Global A,日版
psp,1645,Sengoku Efuda Yuugi - Hototogisu Ran,战国绘札游戏-不如归 乱,ULJS-00159,2008-11-11,Board Games,https://data.yang2000ling.com/img/psp_200/1645.jpg,日语,Irem,日版
psp,1646,Zero Pilot - Daisanji Sekai Taisen 1946,零式战斗机飞行员-第三次世界大战1946,ULJM-05382,2008-11-11,Action,https://data.yang2000ling.com/img/psp_200/1646.jpg,日语,Global A,日版
psp,1647,Football Manager Handheld 2009,足球经理2009,ULES-01152,2008-11-12,Sports,https://data.yang2000ling.com/img/psp_200/1647.jpg,西班牙语|意大利语|德语|英文|法文,SEGA,欧版
psp,1648,FIFA 09 - World Class Soccer,FIFA足球2009,ULJM-05396,2008-11-13,Sports,https://data.yang2000ling.com/img/psp_200/1648.jpg,日语,Electronic Arts,日版
psp,1649,Suigetsu Portable,水月 携带版,ULJM-05346,2008-11-17,Adventure,https://data.yang2000ling.com/img/psp_200/1649.jpg,日语,GN Software,日版
psp,1650,Need for Speed - Undercover,极品飞车-无间风云,ULES-01145,2008-11-17,Racing,https://data.yang2000ling.com/img/psp_200/1650.jpg,西班牙语|波兰语|意大利语|德语|荷兰语|英文|法文,Electronic Arts,欧版
psp,1651,Shaun White Snowboarding,肖恩怀特滑雪,ULUS-10399,2008-11-18,Sports,https://data.yang2000ling.com/img/psp_200/1651.jpg,英文,UbiSoft,美版
psp,1652,WWE SmackDown! vs. RAW 2009 featuring ECW,世界摔跤联盟2009,ULUS-10384,2008-11-18,Fighting,https://data.yang2000ling.com/img/psp_200/1652.jpg,英文,THQ,美版
psp,1653,Kidou Senshi Gundam - Gundam vs. Gundam,机动战士高达-高达vs.高达,ULJS-00165,2008-11-18,Fighting,https://data.yang2000ling.com/img/psp_200/1653.jpg,日语,Bandai Namco Games,日版
psp,1654,Prinny - Ore ga Shujinkou de Iinsuka,普利尼-俺当主角行吗,ULJS-00150,2008-11-19,Action RPG,https://data.yang2000ling.com/img/psp_200/1654.jpg,日语,Nippon Ichi Software,日版
psp,1655,Need for Speed - Undercover,极品飞车-无间风云,ULUS-10376,2008-11-19,Racing,https://data.yang2000ling.com/img/psp_200/1655.jpg,英文,Electronic Arts,美版
psp,1656,Pro Evolution Soccer 2009,实况足球2009,ULUS-10388,2008-11-19,Sports,https://data.yang2000ling.com/img/psp_200/1656.jpg,西班牙语|葡萄牙语|英文|法文,Konami,美版
psp,1657,Clank & Ratchet - Maru Hi Mission - Ignition,秘密特工叮当,UCJS-10084,2013-02-11,Platformer,https://data.yang2000ling.com/img/psp_200/1657.jpg,日语,Sony,日版
psp,1658,Loco Roco 2,乐克乐克2,UCES-01059,2008-11-21,Action,https://data.yang2000ling.com/img/psp_200/1658.jpg,瑞典语|西班牙语|葡萄牙语|挪威语|意大利语|德语|芬兰语|荷兰语|丹麦语|英文|法文,Sony,欧版
psp,1659,Musou Orochi - Maou Sairin,无双大蛇-魔王再临,ULJM-05402,2008-11-23,Beat Em Up,https://data.yang2000ling.com/img/psp_200/1659.jpg,日语,Koei,日版
psp,1660,Yu-Gi-Oh! Duel Monsters GX Tag Force 3,游戏王GX 卡片力量3,ULJM-05373,2008-11-25,Card Battle,https://data.yang2000ling.com/img/psp_200/1660.jpg,日语,Konami,日版
psp,1661,Patapon 2 - Don-Chaka,啪嗒砰2-咚锵,UCJS-10089,2008-11-25,Action,https://data.yang2000ling.com/img/psp_200/1661.jpg,日语,Sony,日版
psp,1662,Kenka Banchou 3 - Zenkoku Seiha,喧哗番长3-全国制霸,ULJS-00166,2008-11-25,Action,https://data.yang2000ling.com/img/psp_200/1662.jpg,日语,Spike,日版
psp,1663,Higurashi Daybreak Portable,寒蝉鸣泣之时 携带版,ULJM-05388,2008-11-25,Adventure,https://data.yang2000ling.com/img/psp_200/1663.jpg,日语,Alchemist,日版
psp,1664,Moe Moe 2-ji Taisen Ryoku Deluxe,萌萌2次大战略,ULJS-00160,2008-11-26,Adventure,https://data.yang2000ling.com/img/psp_200/1664.jpg,日语,SystemSoft Alpha,日版
psp,1665,Yu-Gi-Oh! GX Tag Force 3,游戏王GX 卡片力量3,ULES-01183,2008-11-27,Card Battle,https://data.yang2000ling.com/img/psp_200/1665.jpg,西班牙语|葡萄牙语|波兰语|意大利语|德语|荷兰语|英文|法文,Konami,欧版
psp,1666,Buzz! Brain Bender,喧闹少年找碴大师 大脑锻炼,UCES-01157,2008-11-28,Trivia,https://data.yang2000ling.com/img/psp_200/1666.jpg,西班牙语|意大利语|德语|英文|法文,Sony,欧版
psp,1667,Warriors of the Lost Empire,迷失王国-魔窟的皇帝,ULES-00924,2008-11-28,Action RPG,https://data.yang2000ling.com/img/psp_200/1667.jpg,西班牙语|意大利语|德语|英文|法文,Mercury Games,欧版
psp,1668,Ben 10 - Alien Force,BEN10-外星神力,ULES-01189,2008-11-29,Action,https://data.yang2000ling.com/img/psp_200/1668.jpg,西班牙语|意大利语|德语|英文|法文,D3 Publisher,欧版
psp,1669,Loco Roco 2,乐克乐克2,UCAS-40222,2008-12-04,Action,https://data.yang2000ling.com/img/psp_200/1669.jpg,韩语|中文|英文,Sony,中国版
psp,1670,Loco Roco 2,乐克乐克2,UCJS-10087,2008-12-05,Action,https://data.yang2000ling.com/img/psp_200/1670.jpg,日语,Sony,日版
psp,1671,Buzz! Master Quiz,喧闹少年找碴大师 硕士测验,UCES-01130,2008-12-06,Trivia,https://data.yang2000ling.com/img/psp_200/1671.jpg,波兰语|英文,Sony,欧版
psp,1672,Zwei!!,双星物语,ULJM-05392,2008-12-11,RPG,https://data.yang2000ling.com/img/psp_200/1672.jpg,日语,Falcom,日版
psp,1673,Panic Palette Portable,恐慌调色盘 携带版,ULJM-05344,2008-12-12,Puzzle,https://data.yang2000ling.com/img/psp_200/1673.jpg,日语,Takuyo,日版
psp,1674,Hoshiiro no Okurimono Portable,星色赠礼 携带版,ULJS-00164,2008-12-13,Adventure,https://data.yang2000ling.com/img/psp_200/1674.jpg,日语,Takuyo,日版
psp,1675,Dissidia - Final Fantasy,最终幻想-纷争,ULJM-05262,2008-12-17,Fighting,https://data.yang2000ling.com/img/psp_200/1675.jpg,日语,Square Enix,日版
psp,1676,Crimson Room Reverse,深红房间 逆转,ULJM-05408,2008-12-18,Adventure,https://data.yang2000ling.com/img/psp_200/1676.jpg,日语,Success,日版
psp,1677,Samurai Shodown Anthology,侍魂 六番胜负,ULUS-10401,2008-12-18,Action,https://data.yang2000ling.com/img/psp_200/1677.jpg,英文,SNK Playmore,美版
psp,1678,Shin Sangoku Musou - 2nd Evolution,真三国无双-二度进化,ULAS-42150,2008-12-18,Beat Em Up,https://data.yang2000ling.com/img/psp_200/1678.jpg,中文,Koei,中国版
psp,1679,Saikyou Shogi Bonanza,最强将棋Bonanza,ULJM-05406,2008-12-18,Board Games,https://data.yang2000ling.com/img/psp_200/1679.jpg,日语,Success,日版
psp,1680,Need for Speed - Undercover,极品飞车-无间风云,ULJM-05403,2008-12-19,Racing,https://data.yang2000ling.com/img/psp_200/1680.jpg,日语,Electronic Arts,日版
psp,1681,Otsugea Uranai na Desu.,占卜是算命哦,ULJM-05409,2008-12-21,Other,https://data.yang2000ling.com/img/psp_200/1681.jpg,日语,Dorasu,日版
psp,1682,Solfege - Sweet Harmony,音感训练-斯威特协奏曲,ULJM-05367,2008-12-21,Adventure,https://data.yang2000ling.com/img/psp_200/1682.jpg,日语,GungHo Works,日版
psp,1683,Dungeon Maker II - The Hidden War,迷宫制造者编年史2-战争秘史,ULUS-10393,2008-12-22,RPG,https://data.yang2000ling.com/img/psp_200/1683.jpg,英文,UFO Interactive,美版
psp,1684,Crash - Mind Over Mutant,古惑狼-邪恶意志,ULES-01171,2008-12-22,Platformer,https://data.yang2000ling.com/img/psp_200/1684.jpg,德语|英文,Sierra Entertainment,欧版
psp,1685,Oretachi no Sabage Portable,我们的野战游戏 携带版,ULJS-00170,2008-12-23,Action,https://data.yang2000ling.com/img/psp_200/1685.jpg,日语,Best Media,日版
psp,1686,DJ Max Emotional Sense P - Black Square,DJMax3-黑色立方 携带版,ULKS-46189,2008-12-23,Rhytm,https://data.yang2000ling.com/img/psp_200/1686.jpg,韩语|日语|英文,Pentavision,韩版
