system,game_id,game_name,ch_name,img
pcecd,PCECD#108,Eikan wa Kimi ni - Koukou Yakyuu Zenkoku Taikai (Japan),光荣归于你～高中棒球全国大会 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD108.jpg
pcecd,PCECD#109,Eiyuu Sangokushi (Japan),英雄三国志 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD109.jpg
pcecd,PCECD#110,Emerald Dragon (Japan),翡翠龙 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD110.jpg
pcecd,PCECD#111,Emerald Dragon (Japan) (Demo),翡翠龙 （日版） （演示版）,https://data.yang2000ling.com/img/pcecd_200/PCECD110.jpg
pcecd,PCECD#112,Emerald Dragon (Japan) (Rev 1),翡翠龙 （日版） （修正版 1）,https://data.yang2000ling.com/img/pcecd_200/PCECD110.jpg
pcecd,PCECD#113,Exile (USA),流放 （美版）,https://data.yang2000ling.com/img/pcecd_200/PCECD113.jpg
pcecd,PCECD#114,Exile - Toki no Hasama e (Japan),流放 时之狭间 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD114.jpg
pcecd,PCECD#115,Exile - Wicked Phenomenon (USA),流放 邪念的事象 （美版）,https://data.yang2000ling.com/img/pcecd_200/PCECD115.jpg
pcecd,PCECD#116,Exile II - Janen no Jishou (Japan),流放2 邪念的事象 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD116.jpg
pcecd,PCECD#117,"F1 Circus Special - Pole to Win (Japan) (FAAT, FACT)","F1竞技场特别版 （日版） (FAAT, FACT)",https://data.yang2000ling.com/img/pcecd_200/PCECD117.jpg
pcecd,PCECD#118,F1 Circus Special - Pole to Win (Japan) (FABT),F1竞技场特别版 （日版） (FABT),https://data.yang2000ling.com/img/pcecd_200/PCECD117.jpg
pcecd,PCECD#119,F1 Team Simulation - Project F (Japan),F1车队模拟 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD119.jpg
pcecd,PCECD#120,Faceball (Japan),脸球 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD120.jpg
pcecd,PCECD#121,Faceball (Japan) (Demo),脸球 （日版） （演示版）,https://data.yang2000ling.com/img/pcecd_200/PCECD120.jpg
pcecd,PCECD#122,Faerie Dust Story - Meikyuu no Elfeene (Japan),迷宫的精灵 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD122.jpg
pcecd,PCECD#123,"Fantastic Night Dreams - Cotton (Japan) (En,Ja)","棉花小魔女 （日版） (En,Ja)",https://data.yang2000ling.com/img/pcecd_200/PCECD124.jpg
pcecd,PCECD#124,Fantastic Night Dreams - Cotton (USA),棉花小魔女 （美版）,https://data.yang2000ling.com/img/pcecd_200/PCECD124.jpg
pcecd,PCECD#125,Far East of Eden - Tengai Makyou - Fuun Kabuki-den (Japan),天外魔境 风云歌舞伎传 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD126.jpg
pcecd,PCECD#126,Far East of Eden - Tengai Makyou - Fuun Kabuki-den (Japan) (Demo),天外魔境 风云歌舞伎传 （日版） （演示版）,https://data.yang2000ling.com/img/pcecd_200/PCECD126.jpg
pcecd,PCECD#127,Far East of Eden - Tengai Makyou - Ziria (Japan) (Hibaihin),天外魔境 自来也 （日版） (Hibaihin),https://data.yang2000ling.com/img/pcecd_200/PCECD127.jpg
pcecd,PCECD#128,Far East of Eden - Tengai Makyou - Ziria (Japan) (Rev 6),天外魔境 自来也 （日版） （修正版 6）,https://data.yang2000ling.com/img/pcecd_200/PCECD127.jpg
pcecd,PCECD#129,Far East of Eden - Tengai Makyou - Ziria (Japan) (Rev 7),天外魔境 自来也 （日版） （修正版 7）,https://data.yang2000ling.com/img/pcecd_200/PCECD127.jpg
pcecd,PCECD#130,Far East of Eden - Tengai Makyou II - Manji Maru (Japan),天外魔境2 万字丸 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD130.jpg
pcecd,PCECD#131,Farjius no Jakoutei - Neo Metal Fantasy (Japan),法斯安斯的邪皇帝 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD131.jpg
pcecd,PCECD#132,Farjius no Jakoutei - Neo Metal Fantasy (Japan) (Rev 1),法斯安斯的邪皇帝 （日版） （修正版 1）,https://data.yang2000ling.com/img/pcecd_200/PCECD131.jpg
pcecd,PCECD#133,Faussete Amour (Japan),虚假的爱 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD133.jpg
pcecd,PCECD#134,Fiend Hunter (Japan),邪鬼猎人 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD134.jpg
pcecd,PCECD#135,Fighting Street (Japan) (Rev 4),快打旋風 （日版） （修正版 4）,https://data.yang2000ling.com/img/pcecd_200/PCECD137.jpg
pcecd,PCECD#136,Fighting Street (Japan) (Rev 5),快打旋風 （日版） （修正版 5）,https://data.yang2000ling.com/img/pcecd_200/PCECD137.jpg
pcecd,PCECD#137,Fighting Street (USA),快打旋風 （美版）,https://data.yang2000ling.com/img/pcecd_200/PCECD137.jpg
pcecd,PCECD#138,Final Zone II (Japan),最终战区2 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD139.jpg
pcecd,PCECD#139,Final Zone II (USA),最终战区2 （美版）,https://data.yang2000ling.com/img/pcecd_200/PCECD138.jpg
pcecd,PCECD#140,Flash Hiders (Japan),闪光的躲避者 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD140.jpg
pcecd,PCECD#141,Forgotten Worlds (Japan),失落的世界 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD141.jpg
pcecd,PCECD#142,"Forgotten Worlds (USA) (En,Ja)","失落的世界 （美版） (En,Ja)",https://data.yang2000ling.com/img/pcecd_200/PCECD142.jpg
pcecd,PCECD#143,Formation Soccer 95 della Serie A (Japan),意甲足球 95 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD143.jpg
