system,game_id,game_name,ch_name,dlc_id,dlc_name,region
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCSONYCK0002,LocoRocoTM Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGCO0044,Mariachi Costume (For Cinco de Mayo),USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCEAMECK0001,Mass EffectTM Costume Pack,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGCO0078,Mayan Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCSNYPCK0002,Men In BlackTM Costume Pack,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCKMGSCK0001,METAL GEAR SOLID® Costumes,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCKMGSLK0001,METAL GEAR SOLID® Gurlukovich Soldier Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGCO0064,Misunderstood Dragon Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCSONYCO0024,ModNationTM Racers Costume Kit,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGCO0013,Monkey King Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGCK0002,Monster Costume Pack,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGCK0004,More Animals Costume Pack,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCSONYCO0005,MotorstormTM Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCSONYCO0030,Nathan Drake Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGCO0051,New Year Fireworks Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCWARNCO0001,Nite Owl Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGMP0002,Norse Mythology Minipack,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCSONYCO0012,PataponTM Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCDSPCLK0001,Pelegosto Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGCO0045,Perseids Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCSUPUCK0001,PlayStation®Move Heroes - Sly Cooper Costume Pack,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCWBDCCO0008,Poison Ivy Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCSONYMP0004,Rag Doll Kung FuTM - Fists of Plastic Pack,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCINSOCK0001,Ratchet & Clank® Costume Pack,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCSONYCO0007,ResistanceTM Chimera Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCDSMUCO0015,Rowlf Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGCO0111,RSBR Launch Shirt,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCMARVVP0003,S.H.I.E.L.D. - Interceptor,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCCOMPCO0003,Sack in the Box Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCCOMPCO0001,Sack-Eating Plant Costume,USA
