system,english_name,chinese_name
md,Streets of Rage 2 (U),怒之铁拳2(美)
md,Streets of Rage 3 (E),怒之铁拳3(欧)
md,Streets of Rage 3 (J),怒之铁拳3(日)
md,Streets of Rage 3 (U),怒之铁拳3(美)
md,Streets of Rage II (JE),怒之铁拳2(日欧)
md,Strider (UE),出击飞龙(美欧)
md,Strider Hiryuu (J),
md,Strider II (E) [x],出击飞龙2(欧)
md,Strider Returns - Journey from Darkness (U),出击飞龙(美)
md,Striker (Beta),打击足球(测试版)
md,Striker (E),打击足球(欧)
md,SubTerrania (Beta 1),旋风战机(测试版 1)
md,SubTerrania (Beta 2),旋风战机(测试版 2)
md,SubTerrania (E),旋风战机(欧)
md,SubTerrania (J),旋风战机(日)
md,SubTerrania (U),旋风战机(美)
md,Summer Challenge (JUE),夏季挑战(日美欧)
md,Sunset Riders (E),落日骑士(欧)
md,Sunset Riders (U),落日骑士(美)
md,Super 12 in 1 (Unl),超级12合1(Unl)
md,Super 15 in 1 (U) [Unl],超级15合1(美)
md,Super Airwolf (J),超级飞狼(日)
md,Super Baseball 2020 (J) (v1,超级棒球2020(日)
md,Super Baseball 2020 (U) (v1,超级棒球2020(美)
md,Super Battleship (U),超级海战(美)
md,Super Battletank - War in the Gulf (U),
md,Super Daisenryaku (J),大战略(日)
md,Super Fantasy Zone (E),超级幻想地带(欧)
md,Super Fantasy Zone (J),超级幻想地带(日)
md,Super H.Q. (J),总部追击2(日)
md,Super Hang-On (J) (r00),超级摩托车(日)
md,Super Hang-On (UE) (r01),超级摩托车(美欧)
md,Super High Impact (UE),美式足球(美欧)
md,Super Hydlide (E),田园(欧)
md,Super Hydlide (J),田园(日)
md,Super Hydlide (U),田园(美)
md,Super Kick Off (JUE),超级足球(日美欧)
md,Super League (J) (Feb 1989),超级棒球89(日)
md,Super League (JUE) (May 1989),超级棒球89(日美欧)
md,Super Monaco Grand Prix (JUE) (M2) (r00),超级摩纳哥赛车(r00)(日美欧)
md,Super Monaco Grand Prix (JUE) (M2) (r01),超级摩纳哥赛车(r01)(日美欧)
md,Super Monaco Grand Prix (JUE) (M2) (r02),超级摩纳哥赛车(r02)(日美欧)
md,Super Monaco Grand Prix (U) (r03),超级摩纳哥赛车(r03)(美)
md,Super Offroad (U),超级足球(美)
md,Super Ping Pong (J),超级乒乓球(日)
md,Super Real Basketball (E),超级实况篮球(欧)
md,Super Real Basketball (JU),超级实况篮球(日美)
md,"Super Shinobi II, The (J) (Beta) [a1]",超级忍2(测试版)[a1](日)
md,"Super Shinobi II, The (J) (Beta)",超级忍2(测试版)(日)
md,"Super Shinobi II, The (J)",超级忍2(日)
md,Super Skidmarks (E) [x],超级火箭车(欧)
md,Super Street Fighter II - The New Challengers (E),超级街头霸王2(欧)
md,Super Street Fighter II - The New Challengers (J),超级街头霸王2(日)
md,Super Street Fighter II - The New Challengers (U),超级街头霸王2(美)
md,Super Thunder Blade (J),超级直升机(日)
md,Super Thunder Blade (UE),超级直升机(美欧)
md,Super Volleyball (J) [x],超级排球(日)
md,Super Volleyball (U) [a1],超级排球[a1](美)
md,Super Volleyball (U),超级排球(美)
md,Superman (Beta),超人(测试版)
md,Superman (E),超人(欧)
md,Superman (U),超人(美)
md,Surging Aura (J),光之冲击(日)
md,Sword of Sodan (J),原始之剑(日)
md,Sword of Sodan (U),原始之剑(美)
md,Sword of Vermilion (U),石中剑(美)
md,Syd of Valis (U),
md,Sylvester and Tweety in Cagey Capers (Beta),崔弟与大笨猫(测试版)
md,Sylvester and Tweety in Cagey Capers (JUE),崔弟与大笨猫(日美欧)
md,Syndicate (JUE),企业联合组织(日美欧
md,Soleil (F),新创世纪(法)
md,Soleil (G),新创世纪(德)
md,Soleil (S),新创世纪(西)
md,Sonic 3D Blast (JUE),音速小子3D(日美欧)
md,Sonic and Knuckles (JUE),音速小子加强版(日美欧)
md,Sonic and Knuckles + Sonic the Hedgehog (JUE),音速小子加强版+音速小子(日美欧)
md,Sonic and Knuckles + Sonic the Hedgehog 2 (JUE),音速小子加强版+音速小子2(日美欧)
md,Sonic and Knuckles + Sonic the Hedgehog 3 (JUE),音速小子加强版+音速小子3(日美欧)
md,Sonic Classics (E),
md,Sonic Classics (U),
md,Sonic Crackers (Beta),
md,Sonic Eraser (J) (Sega Channel),音速方块(日)
md,Sonic Spinball (Beta),音速小子弹珠台(测试版)
md,Sonic Spinball (E),音速小子弹珠台(欧)
md,Sonic Spinball (J),音速小子弹珠台(日)
md,Sonic Spinball (U) [a1],音速小子弹珠台(美)[a1]
md,Sonic Spinball (U),音速小子弹珠台(美)
md,Sonic the Hedgehog (J) (r01),音速小子(日)
md,Sonic the Hedgehog (UE) (r00),音速小子(美欧)
md,Sonic the Hedgehog 2 (Beta),音速小子2(测试版)
md,Sonic the Hedgehog 2 (JUE) (REV SC02),音速小子2(REV SC02)(日美欧)
md,Sonic the Hedgehog 2 (JUE),音速小子2(日美欧)
md,Sonic the Hedgehog 3 (E),音速小子3(欧)
md,Sonic the Hedgehog 3 (J),音速小子3(日)
md,Sonic the Hedgehog 3 (U),音速小子3(美)
md,Sorcer Kingdom (J),国王的勇士(日)
md,Sorcerer's Kingdom (U) (r00),王国巫师(r00)(美)
md,Sorcerer's Kingdom (U) (r01),王国巫师(r01)(美)
md,Sorcerian (J),
md,Soul Blade (J) (Unl),
md,Space Harrier (32X) (E),太空哈利(32X)(欧)
md,Space Harrier (32X) (JU),太空哈利(32X)(日美)
md,Space Harrier II (J),太空哈利2(日)
md,Space Harrier II (UE),太空哈利2(美欧)
md,Space Invaders 90 (J) [x],太空侵略者90(日)
md,Space Invaders 91 (U),太空侵略者91(美)
md,Space Turtleship (K),太空飞船(韩)
md,Sparkster (E),火箭骑士(欧)
md,Sparkster (JU),火箭骑士(日美)
md,Speedball 2 - Brutal Deluxe (E),快速球2(欧)
md,Speedball 2 - Brutal Deluxe (JU),快速球2(日美)
md,Speedy Gonzales - Cheeze Cat-astrophe (E),猫和老鼠(欧)
md,Spider-Man - The Animated Series (Beta 1),蜘蛛人-钢铁丛林(测试版 1)
md,Spider-Man - The Animated Series (Beta 2),蜘蛛人-钢铁丛林(测试版 2)
md,Spider-Man - The Animated Series (JUE),蜘蛛人-钢铁丛林(日美欧)
md,Spider-Man - Web of Fire (32X) (JUE),蜘蛛人(32x)(日美欧)
md,Spider-Man (UE),蜘蛛人(美欧)
md,Spider-Man and Venom - Maximum Carnage (JUE),蜘蛛人与恶毒-大屠杀(日美欧)
md,Spider-Man and Venom - Separation Anxiety (JUE),蜘蛛人与恶毒-分忧(日美欧)
md,Spider-Man and X-Men - Arcade's Revenge (U),蜘蛛人与X-MEN (美)
md,Spiritual Warfare (U) (Unl),心灵作战(Unl)(美)
md,Spirou (E),丁丁历险记(欧)
md,Splatterhouse 2 (E) [x],鬼屋2(欧)
md,Splatterhouse 2 (U),鬼屋2(美)
md,Splatterhouse 3 (U),鬼屋3(美)
md,Splatterhouse Part 3 (J) [a1],鬼屋3[a1](日)
md,Splatterhouse Part 3 (J),鬼屋3(日)
md,Spot Goes to Hollywood (U) (r01),七喜小子-走进好莱坞(美)
md,Spot Goes to Hollywood (UE) [x],七喜小子-走进好莱坞(美欧)
md,Squirrel King (Ch) (Unl),松鼠大战(Unl)(中)
md,SS Lucifer - Man Overboard! (JUE),魔鬼撒旦(日美欧)
